Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ATL,Zaccharie Risacher,,1,64,1576,773,236,78,.448,.353,.720,24.6,12.1,3.7,1.2,1.3,.040,-3.7,-0.7
2,2,WAS,Alex Sarr,,1,55,1479,697,368,127,.396,.327,.664,26.9,12.7,6.7,2.3,0.3,.010,-3.0,-0.4
3,3,HOU,Reed Sheppard,Kentucky,1,45,536,174,63,54,.332,.279,.813,11.9,3.9,1.4,1.2,0.4,.033,-2.5,-0.1
4,4,SAS,Stephon Castle,UConn,1,69,1782,967,224,250,.428,.287,.725,25.8,14.0,3.2,3.6,0.8,.022,-3.7,-0.8
5,5,DET,Ron Holland,,1,72,1126,471,191,72,.472,.220,.757,15.6,6.5,2.7,1.0,1.6,.070,-3.1,-0.3
6,6,CHO,Tidjane Salaün,,1,49,939,259,207,53,.326,.292,.719,19.2,5.3,4.2,1.1,0.1,.003,-4.8,-0.7
7,7,POR,Donovan Clingan,UConn,1,57,1046,344,420,57,.546,.273,.605,18.4,6.0,7.4,1.0,2.9,.132,-0.8,0.3
8,8,SAS,Rob Dillingham,Kentucky,1,43,502,217,49,96,.444,.342,.533,11.7,5.0,1.1,2.2,0.2,.016,-3.9,-0.2
9,9,MEM,Zach Edey,Purdue,1,56,1155,513,430,51,.568,.356,.717,20.6,9.2,7.7,0.9,3.8,.159,-0.6,0.4
10,10,UTA,Cody Williams,Colorado,1,47,988,216,109,55,.326,.266,.725,21.0,4.6,2.3,1.2,-0.9,-.042,-6.9,-1.2
11,11,CHI,Matas Buzelis,,1,69,1201,530,214,57,.441,.329,.855,17.4,7.7,3.1,0.8,1.0,.041,-3.8,-0.6
12,12,OKC,Nikola Topić,,,,,,,,,,,,,,,,,,
13,13,SAC,Devin Carter,Providence,1,27,292,115,63,34,.392,.286,.595,10.8,4.3,2.3,1.3,0.5,.077,-1.7,0.0
14,14,POR,Bub Carrington,Pitt,1,70,2044,629,276,285,.395,.326,.831,29.2,9.0,3.9,4.1,0.0,.001,-5.1,-1.6
15,15,MIA,Kel'el Ware,Indiana,1,53,1128,474,361,51,.556,.316,.698,21.3,8.9,6.8,1.0,3.1,.134,0.1,0.6
16,16,PHI,Jared McCain,Duke,1,23,592,352,56,60,.460,.383,.875,25.7,15.3,2.4,2.6,0.7,.058,0.2,0.3
17,17,LAL,Dalton Knecht,Tennessee,1,67,1379,646,198,63,.460,.371,.750,20.6,9.6,3.0,0.9,2.5,.086,-2.0,0.0
18,18,ORL,Tristan Da Silva,Colorado,1,67,1517,493,228,102,.417,.333,.864,22.6,7.4,3.4,1.5,2.2,.071,-2.7,-0.3
19,19,TOR,Ja'Kobe Walter,Baylor,1,45,903,354,129,60,.399,.313,.754,20.1,7.9,2.9,1.3,0.5,.027,-4.2,-0.5
20,20,CLE,Jaylon Tyson,California,1,42,371,124,80,38,.443,.333,.800,8.8,3.0,1.9,0.9,0.8,.102,-2.8,-0.1
21,21,NOP,Yves Missi,Baylor,1,66,1775,583,531,86,.540,.000,.624,26.9,8.8,8.0,1.3,3.0,.080,-3.4,-0.6
22,22,PHO,DaRon Holmes,Dayton,,,,,,,,,,,,,,,,,
23,23,MIL,AJ Johnson,,1,17,229,85,26,38,.434,.333,.727,13.5,5.0,1.5,2.2,0.1,.018,-4.8,-0.2
24,24,NYK,Kyshawn George,Miami (FL),1,63,1713,552,270,160,.368,.321,.761,27.2,8.8,4.3,2.5,0.1,.003,-4.2,-1.0
25,25,NYK,Pacome Dadiet,,1,15,98,26,14,5,.321,.333,.667,6.5,1.7,0.9,0.3,0.0,.014,-5.7,-0.1
26,26,WAS,Dillon Jones,Weber State,1,43,408,100,89,45,.349,.214,.583,9.5,2.3,2.1,1.0,0.5,.061,-4.5,-0.3
27,27,MIN,Terrence Shannon Jr.,Illinois,1,30,333,138,46,31,.482,.355,.810,11.1,4.6,1.5,1.0,0.6,.093,-2.0,0.0
28,28,DEN,Ryan Dunn,Virginia,1,63,1120,405,204,49,.434,.308,.469,17.8,6.4,3.2,0.8,0.9,.040,-3.9,-0.5
29,29,UTA,Isaiah Collier,USC,1,64,1616,504,213,396,.415,.243,.667,25.3,7.9,3.3,6.2,-0.8,-.024,-5.5,-1.5
30,30,BOS,Baylor Scheierman,Creighton,1,21,197,56,33,17,.352,.317,.833,9.4,2.7,1.6,0.8,0.4,.103,-2.2,0.0
31,31,TOR,Jonathan Mogbo,San Francisco,1,52,958,274,223,90,.437,.286,.708,18.4,5.3,4.3,1.7,1.3,.064,-2.1,0.0
32,32,UTA,Kyle Filipowski,Duke,1,62,1223,545,342,119,.518,.395,.624,19.7,8.8,5.5,1.9,2.2,.088,-0.6,0.4
33,33,MIL,Tyler Smith,,1,19,88,44,20,4,.447,.381,.500,4.6,2.3,1.1,0.2,0.1,.033,-2.0,0.0
34,34,POR,Tyler Kolek,Marquette,1,34,177,61,16,32,.375,.355,.889,5.2,1.8,0.5,0.9,0.3,.084,-2.3,0.0
35,35,SAS,Johnny Furphy,Kansas,1,41,273,66,48,10,.365,.306,1.000,6.7,1.6,1.2,0.2,0.3,.053,-3.0,-0.1
36,36,IND,Juan Nunez,,,,,,,,,,,,,,,,,,
37,37,MIN,Bobi Klintman,,1,6,17,0,4,1,.000,.000,,2.8,0.0,0.7,0.2,0.0,-.105,-10.4,0.0
38,38,NYK,Ajay Mitchell,UC Santa Barbara,1,34,561,218,67,57,.506,.431,.848,16.5,6.4,2.0,1.7,1.5,.129,-1.2,0.1
39,39,MEM,Jaylen Wells,Washington State,1,71,1831,751,231,118,.427,.357,.810,25.8,10.6,3.3,1.7,3.0,.080,-2.4,-0.2
40,40,POR,Oso Ighodaro,Marquette,1,50,783,185,178,55,.600,.000,.561,15.7,3.7,3.6,1.1,1.2,.076,-2.6,-0.1
41,41,PHI,Adem Bona,UCLA,1,47,585,187,155,16,.683,,.682,12.4,4.0,3.3,0.3,1.4,.116,-3.7,-0.2
42,42,CHO,KJ Simpson,Colorado,1,25,525,176,70,70,.332,.228,.837,21.0,7.0,2.8,2.8,-0.3,-.024,-5.4,-0.5
43,43,MIA,Nikola Djurisic,,,,,,,,,,,,,,,,,,
44,44,HOU,Pelle Larsson,Arizona,1,47,593,180,66,43,.435,.315,.674,12.6,3.8,1.4,0.9,0.8,.068,-4.6,-0.4
45,45,SAC,Jamal Shead,Houston,1,65,1203,422,90,249,.421,.337,.761,18.5,6.5,1.4,3.8,0.4,.015,-4.5,-0.7
46,46,LAC,Cam Christie,Minnesota,1,8,41,13,7,5,.333,.200,.500,5.1,1.6,0.9,0.6,0.0,.015,-1.1,0.0
47,47,ORL,Antonio Reeves,Kentucky,1,34,356,151,36,23,.442,.377,.846,10.5,4.4,1.1,0.7,0.1,.019,-3.0,-0.1
48,48,SAS,Harrison Ingram,UNC,1,3,17,2,5,1,.333,.000,,5.7,0.7,1.7,0.3,0.0,.058,-5.5,0.0
49,49,IND,Tristen Newton,UConn,1,8,16,3,4,2,.125,.000,1.000,2.0,0.4,0.5,0.3,-0.1,-.333,-20.8,-0.1
50,50,IND,Enrique Freeman,University of Akron,1,20,139,34,19,8,.480,.167,.600,7.0,1.7,1.0,0.4,0.1,.040,-6.7,-0.2
51,51,NYK,Melvin Ajinça,,,,,,,,,,,,,,,,,,
52,52,GSW,Quinten Post,Boston College,1,33,556,287,127,47,.473,.440,.789,16.8,8.7,3.8,1.4,1.6,.140,1.6,0.5
53,53,DET,Cam Spencer,UConn,1,18,190,74,25,24,.426,.382,1.000,10.6,4.1,1.4,1.3,0.6,.161,0.5,0.1
54,54,BOS,Anton Watson,Gonzaga,1,5,14,6,2,2,.429,,,2.8,1.2,0.4,0.4,0.0,-.061,-9.8,0.0
55,55,LAL,Bronny James,USC,1,23,135,52,13,14,.327,.250,.786,5.9,2.3,0.6,0.6,-0.1,-.042,-7.5,-0.2
56,56,PHO,Kevin McCullar Jr.,Kansas,,,,,,,,,,,,,,,,,
57,57,MEM,Ulrich Chomche,,1,7,32,5,8,2,.400,,.500,4.6,0.7,1.1,0.3,0.0,-.005,-7.5,0.0
58,58,DAL,Ariel Hukporti,,1,25,217,48,51,11,.677,,.462,8.7,1.9,2.0,0.4,0.1,.019,-5.7,-0.2
59,59,PHI,,,,,,,,,,,,,,,,,,,
60,60,PHO,,,,,,,,,,,,,,,,,,,
