#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
1,Zach Edey,PURD,39,32,25.2,8.6,13.8,0.623,0,0.1,0.5,7.9,11.2,0.711,4.6,7.5,12.2,2,0.3,2.2,2.3,1.9,
2,Tommy Bruner,DEN,34,33.8,24,7.7,17.7,0.435,2.4,6.8,0.353,6.2,7.6,0.808,0.3,2.5,2.8,4.2,1.3,0.1,3.6,2.9,
3,"Terrence Shannon, Jr.",ILL,32,33.9,23,6.8,14.4,0.475,2.4,6.7,0.362,6.9,8.6,0.801,0.8,3.2,4,2.3,1,0.9,2,2.2,
4,Tyler Thomas,HOF,33,37.8,22.5,8,19.4,0.414,3.8,10.2,0.371,2.6,3.1,0.861,0.2,4.9,5.2,3.3,1.3,0.5,2.1,1.4,
5,Xavier Johnson,SOILL,32,36.7,22.2,6.6,15.6,0.422,2.1,5.8,0.368,6.8,7.7,0.89,0.5,3.6,4.1,6.1,1.5,0.3,3.3,2.9,
6,David Jones,MEMP,32,32.4,21.8,7,15.2,0.459,2.5,6.5,0.38,5.4,6.8,0.797,2.6,5.1,7.6,1.8,2.2,0.4,3,2,
7,Tyson Acuff,EMICH,27,37.9,21.7,8.1,18.7,0.433,1.8,6.2,0.292,3.7,4.5,0.811,0.5,3.1,3.6,2.8,1.1,0.1,2,1.7,
8,Dalton Knecht,TENN,36,30.6,21.7,7.3,16,0.458,2.6,6.5,0.397,4.4,5.7,0.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,
9,Jordan Sears,UTM,32,33.8,21.6,7.1,16.4,0.432,2.4,5.5,0.432,5.1,6,0.839,0.6,4.1,4.6,4.5,1.3,0.2,3.2,1.9,
10,Tucker DeVries,DRAKE,34,35.4,21.6,7.2,16.2,0.444,2.6,7.1,0.363,4.6,5.7,0.813,0.6,6.1,6.7,3.7,1.6,0.3,2.5,1.7,
11,Mark Sears,UA,37,33.6,21.5,6.8,13.4,0.508,2.6,5.9,0.436,5.4,6.2,0.857,0.9,3.3,4.2,4,1.6,0.1,2.4,2,
12,Jaedon LeDee,SDSU,36,32.7,21.4,7.3,13.1,0.56,0.6,1.3,0.444,6.3,8.6,0.734,3.4,5,8.4,1.3,1.2,0.5,2.4,2.4,
13,Jordan Johnson,NEWOR,32,35.9,21.3,6.6,17,0.387,2.5,7.4,0.34,5.7,6.9,0.824,0.3,2.8,3.2,3.8,1.5,0.2,2.4,2.3,
14,Jalen Blackmon,STET,35,34.8,21.3,7,16.3,0.428,3.1,8.3,0.381,4.2,4.6,0.907,0.7,2.2,2.9,1.9,0.8,0.1,1.9,1.2,
15,P.J. Haggerty,TULSA,31,33.7,21.2,6.4,13,0.493,0.7,2.5,0.289,7.6,10,0.767,1,4.4,5.5,3.8,1.9,0,2.6,1.7,
16,R.J. Davis,UNC,37,34.9,21.2,7,16.4,0.428,3.1,7.7,0.398,4.1,4.7,0.873,0.5,3.1,3.6,3.5,1.2,0.2,1.5,1.8,
17,B.J. Freeman,UWM,27,32.1,21.1,7,16.6,0.422,2.4,7,0.351,4.7,5.7,0.824,1.2,5.4,6.6,4.1,1.1,0.4,3.6,1.7,
18,Vonterius Woolbright,WCU,32,35.2,21.1,7.4,16,0.46,0.3,1.3,0.244,6,8.4,0.717,2.2,9.8,12,5.6,0.6,0,3.5,1.5,
19,"Keion Brooks, Jr.",UWASH,32,35.1,21.1,7.1,14.6,0.487,1.6,4.3,0.38,5.2,6.5,0.794,1.5,5.4,6.8,1.4,0.7,0.8,1.9,2.3,
20,Riley Minix,MRHD,35,33.8,20.9,7.8,14.4,0.541,1.7,4.8,0.349,3.7,4.4,0.839,3,6.6,9.7,2.2,1.3,1,2.3,2.3,
21,Landon Glasper,NC A&T,24,36,20.9,6.3,17.8,0.357,2.6,8.6,0.3,5.6,7.4,0.758,0.8,2.8,3.6,2.2,1.4,0.1,1.9,2.2,
22,Jayden Stone,UDM,26,35.9,20.8,7.2,17.1,0.422,2.4,7.7,0.312,4,5,0.794,0.9,4.7,5.6,2.7,1.5,0.3,2.5,1.7,
23,Dillon Jones,WEBER,31,37,20.8,6.9,14.2,0.489,1.1,3.4,0.324,5.8,6.8,0.857,0.8,9,9.8,5.2,2,0.1,3,2.3,
24,David Coit,NIU,29,37,20.8,6.9,17,0.407,3.2,9.6,0.337,3.7,4.2,0.885,0.3,2.9,3.2,3.4,0.9,0.2,2.4,1.4,
25,Elijah Pepper,UCD,33,33,20.7,6.5,15.8,0.415,3.1,8.2,0.371,4.5,4.9,0.92,0.6,4,4.6,2.1,1.7,0.3,1.9,1.5,
26,Drew Pember,UNCA,33,30.6,20.6,5.8,12.6,0.464,2,5.5,0.366,6.9,8.2,0.844,1.4,6.8,8.2,3.5,1,1.9,2.7,1.9,
27,Marcus Hill,BGSU,34,36.4,20.5,7.5,16.9,0.443,0.8,2.6,0.289,4.8,6.4,0.74,1.6,3.4,5,2.6,1,0.3,2.6,1.9,
28,Xander Rice,MONM,33,35.2,20.4,6.1,15.9,0.383,2.8,7.9,0.349,5.5,6.5,0.85,0.6,2.4,3,3.6,1.3,0.1,2.1,1.6,
29,Jahmir Young,UMD,32,35.3,20.4,6.2,15.4,0.404,1.8,5.4,0.324,6.2,6.9,0.9,1,3.8,4.9,4.2,1.3,0.3,2.7,1.3,
30,DaRon Holmes II,DAY,33,32.4,20.4,6.6,12.1,0.544,1,2.5,0.386,6.2,8.8,0.713,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2,
31,Antonio Reeves,UK,33,31.4,20.2,7.1,13.9,0.512,2.5,5.7,0.447,3.4,4,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,
32,Frank Fidler,OMAHA,33,36,20.1,6,13.3,0.452,1.6,4.4,0.356,6.5,7.7,0.854,1.2,5.1,6.3,2.6,1.2,0.4,1.6,2.3,
33,Tyon Grant-Foster,GCU,34,33.4,20.1,6.2,14,0.446,1.5,4.4,0.331,6.2,8.3,0.745,1.3,4.8,6.1,1.6,1.7,1.5,2.5,2.3,
34,Ajay Mitchell,UCSB,29,31.5,20,6.7,13.3,0.504,1.1,2.9,0.393,5.4,6.3,0.858,0.2,3.8,4,4,1.2,0.4,2.6,2.6,
35,Noah Reynolds,UWGB,27,33.4,20,7.5,14.6,0.511,1.3,3.7,0.34,3.8,4.8,0.791,0.6,3.1,3.7,4.5,0.8,0.5,2.7,2.3,
36,Marques Warrick,NKU,33,36.2,19.9,6.6,15.5,0.425,2,6.8,0.298,4.7,5.5,0.867,0.4,2.1,2.5,2.4,1.2,0.1,2.3,1.2,
37,Isaac McBride,ORU,31,38.6,19.8,6.6,14.8,0.448,2.1,5.3,0.394,4.5,5,0.89,0.4,3.1,3.5,3.1,0.9,0.1,1.7,1.6,
38,Trazarien White,UNCW,30,30.3,19.8,6.7,13.7,0.493,0.8,2,0.39,5.5,7.7,0.716,2,4.8,6.8,1.6,0.8,0.4,2.5,2.1,
39,Saint Thomas,NOCOL,32,34.8,19.7,7,14.8,0.472,2,6.2,0.33,3.7,4.3,0.868,1.8,8,9.8,4.2,1.7,0.9,3,2.6,
40,K.J. Simpson,COLO,37,35.1,19.7,6.6,13.8,0.475,2.1,4.9,0.434,4.4,5,0.876,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,
41,Chaz Lanier,UNF,32,33.3,19.7,6.7,13.1,0.51,3.3,7.5,0.44,3,3.4,0.88,0.7,4.1,4.8,1.8,0.9,0.3,1.6,1.5,
42,Tristan Enaruna,CLEST,35,33.2,19.6,7.2,14.5,0.498,0.8,2.5,0.322,4.4,6.1,0.721,2.4,4.1,6.5,2.7,1.2,0.9,1.9,1.9,
43,Sebastian Thomas,ALBNY,32,35.5,19.6,6.8,15.8,0.431,1.6,5.3,0.294,4.4,5.7,0.775,1.1,3.1,4.2,4.9,1.9,0.3,2.8,2.3,
44,Kobe Sanders,POLY,29,33.6,19.6,6.1,13.4,0.459,1.3,3.9,0.339,6,6.9,0.874,0.9,2.9,3.7,3.2,0.8,0.3,2.9,2.8,
45,Jaylon Tyson,Cal,31,34.3,19.6,7.2,15.4,0.465,1.6,4.5,0.36,3.6,4.6,0.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,
46,Trey Calvin,WRST,31,35.4,19.6,6.8,14.2,0.482,2,5,0.4,3.9,4.4,0.896,0.3,2.1,2.4,4.2,1.5,0.1,2,2.3,
47,Anthony Dell'Orso,CAM,32,33.3,19.5,7,14.2,0.492,1.5,4,0.38,4,4.9,0.809,1,5.5,6.5,1.9,1.6,0.5,2.4,1.4,
48,Tai'reon Joseph,SUBR,20,29.5,19.5,7.3,16.7,0.438,2.6,8.5,0.306,2.3,3.4,0.672,0.6,2.4,3,1.6,1.5,0,2.4,1.9,
49,Clarence Daniels,NEWHA,31,32.9,19.4,6.7,14.6,0.458,1.7,4.7,0.363,4.4,5.4,0.804,1.5,8.1,9.6,0.4,1.4,0.5,2.5,1.7,
50,"Dominique Daniels, Jr.",CALBU,21,34.7,19.2,6.2,15.5,0.4,2.7,7.5,0.363,4.1,4.9,0.845,0.6,0.9,1.5,2.9,0.6,0,1.8,1.5,
51,Quincy Olivari,XAV,34,32.2,19.1,5.8,13.7,0.425,3.1,7.6,0.409,4.4,5.4,0.814,0.5,5.1,5.6,2.1,1.4,0.1,1.6,2.2,
52,Jacob Crews,UTM,32,33.4,19.1,6.4,13.3,0.485,2.8,6.7,0.414,3.5,4.3,0.816,2,6.2,8.2,1.1,0.8,0.5,1.3,1.5,
53,Devin Carter,PROV,34,34.3,19.1,6.4,13.6,0.473,2.5,6.6,0.377,3.8,5,0.749,1,7.4,8.4,3.5,1.7,0.9,2.6,1.9,
54,Jason Edwards,UNT,34,32.5,19.1,6.3,14.8,0.425,2.5,7.1,0.35,4.1,5,0.807,0.1,2.2,2.4,1.4,0.8,0.1,2.3,1.4,
55,Wade Taylor IV,TAMU,36,32.8,19.1,5.9,16.3,0.366,2.7,8.4,0.325,4.5,5.3,0.847,0.5,3,3.5,4,1.8,0,2.8,3,
56,Boo Buie,NWU,34,36.9,19,6.3,14.4,0.438,2.6,6,0.434,3.7,4.4,0.858,0.6,2.7,3.3,5,1.4,0.1,2.3,2.6,
57,Dion Brown,UMBC,32,32.3,19,7.7,15.2,0.506,1.4,4,0.349,2.2,2.9,0.761,2.7,4.9,7.6,2.6,1.3,0.5,3.1,2.8,
58,Mervin James,RIDER,32,31.8,18.9,7,13.4,0.519,0.7,1.4,0.467,4.3,5.1,0.848,2,4.1,6.1,1.9,1,0.9,2.8,3,
59,Mikael Brown-Jones,UNCG,28,28.4,18.9,6.2,11.5,0.54,0.9,2.1,0.431,5.5,7,0.787,2.1,5.4,7.5,1.1,0.6,0.9,1.7,2.6,
60,Judah Mintz,SYRA,32,33.9,18.8,5.9,13.4,0.438,0.8,2.7,0.282,6.3,8.3,0.765,0.5,2.8,3.2,4.4,2.1,0.1,2.9,2.2,
61,Zeke Mayo,SDKSU,35,35.9,18.8,6.2,13.4,0.466,2.6,6.7,0.391,3.7,4.5,0.828,0.6,5.1,5.7,3.5,1.1,0.2,3.1,1.5,
62,"Kino Lilly, Jr.",BRWN,30,38,18.8,6.6,16.6,0.395,3,8.8,0.341,2.7,3.3,0.816,0.3,2.1,2.4,3.6,0.8,0.2,2.7,1.4,
63,De'Sean Allen-Eikens,CSUN,33,33.7,18.8,6.3,13.2,0.482,1.1,2.9,0.361,5.1,6.8,0.742,1.9,3.4,5.3,2.3,1,0.2,3.2,2.5,
64,"Ken Evans, Jr.",JKSN,32,35.8,18.8,5.9,14.5,0.408,1.9,4.9,0.392,5,6.4,0.782,1.3,4.2,5.4,2.9,1.3,0.2,2.9,1.8,
65,A.J. McKee,QUC,33,31.6,18.8,6.5,14.6,0.447,1.9,5.8,0.323,3.8,5.2,0.734,1,2.9,4,2.4,1.7,0.3,1.9,2.4,
66,"Wesley Cardet, Jr.",CHIST,31,34.5,18.7,6.3,14.2,0.444,1.4,4.1,0.344,4.6,6.4,0.719,1.5,3,4.5,2.6,0.9,0.5,2.9,1.5,
67,Basheer Jihad,BLLST,30,32.6,18.6,5.9,13,0.451,1.3,3.8,0.354,5.6,7.4,0.749,2,6,8,1.8,1.1,1.1,3.4,3.1,
68,Enrique Freeman,AKR,35,32.4,18.6,6.7,11.4,0.584,0.6,1.5,0.37,4.7,6.5,0.728,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,
