Date,Price,Open,High,Low,Vol.,Change %
12/25/2022,33147.25,33224.23,33387.72,32847.82,1.04B,-0.17%
12/18/2022,33203.93,32921.45,33437.84,32573.43,1.53B,0.86%
12/11/2022,32920.46,33519.50,34712.28,32654.59,2.29B,-1.66%
12/4/2022,33476.46,34335.73,34335.73,33418.59,1.48B,-2.77%
11/27/2022,34429.88,34275.91,34595.51,33583.77,1.78B,0.24%
11/20/2022,34347.03,33760.30,34386.51,33559.18,1.00B,1.78%
11/13/2022,33745.69,33662.05,33987.06,33239.75,1.69B,-0.01%
11/6/2022,33747.86,32454.10,33817.96,32424.99,1.96B,4.15%
10/30/2022,32403.22,32754.27,33071.93,31727.05,1.90B,-1.40%
10/23/2022,32861.80,31187.32,32889.81,31161.41,2.01B,5.72%
10/16/2022,31082.56,30059.58,31119.27,29997.62,1.83B,4.89%
10/9/2022,29634.83,29419.09,30428.82,28660.94,1.84B,1.15%
10/2/2022,29296.79,28855.25,30454.46,28855.25,1.75B,1.99%
9/25/2022,28725.51,29536.84,29811.78,28715.85,2.03B,-2.92%
9/18/2022,29590.41,30722.86,31026.89,29250.47,1.70B,-4.00%
9/11/2022,30822.42,32159.49,32504.04,30550.08,2.11B,-4.13%
9/4/2022,32151.71,31343.79,32227.74,31048.46,1.36B,2.66%
8/28/2022,31318.44,32188.00,32325.16,31182.09,1.69B,-2.99%
8/21/2022,32283.40,33586.59,33586.59,32278.22,1.48B,-4.22%
8/14/2022,33706.74,33710.70,34281.36,33582.96,1.42B,-0.16%
8/7/2022,33761.05,32877.36,33767.09,32702.66,1.49B,2.92%
7/31/2022,32803.47,32755.71,32972.03,32387.12,1.59B,-0.13%
7/24/2022,32845.13,31950.93,32910.18,31705.36,1.80B,2.97%
7/17/2022,31899.29,31475.98,32219.25,30982.97,1.63B,1.95%
7/10/2022,31288.26,31277.98,31367.55,30143.93,1.53B,-0.16%
7/3/2022,31338.15,30903.12,31511.46,30355.12,1.16B,0.77%
6/26/2022,31097.26,31533.60,31885.09,30431.87,1.65B,-1.28%
6/19/2022,31500.68,30074.69,31517.29,30074.69,1.56B,5.39%
6/12/2022,29888.78,31144.91,31144.91,29653.29,2.38B,-4.79%
6/5/2022,31392.79,33032.04,33235.37,31387.84,1.46B,-4.58%
5/29/2022,32899.70,33160.59,33272.34,32509.43,1.52B,-0.94%
5/22/2022,33212.96,31395.89,33213.62,31365.59,1.82B,6.24%
5/15/2022,31261.90,32152.15,32689.14,30635.76,2.20B,-2.90%
5/8/2022,32196.66,32685.17,32752.17,31228.22,2.31B,-2.14%
5/1/2022,32899.37,32978.49,34117.74,32449.87,2.10B,-0.24%
4/24/2022,32977.21,33731.65,34106.01,32913.15,2.23B,-2.47%
4/17/2022,33811.40,34411.49,35492.22,33773.39,1.66B,-1.86%
4/10/2022,34451.23,34630.27,34889.17,34102.81,1.34B,-0.78%
4/3/2022,34721.12,34799.98,35112.21,34190.95,1.64B,-0.28%
3/27/2022,34818.27,34833.03,35372.26,34538.25,1.77B,-0.12%
3/20/2022,34861.24,34669.85,34942.70,34341.81,1.74B,0.31%
3/13/2022,34754.93,33000.37,34755.20,32818.16,2.19B,5.50%
3/6/2022,32944.19,33579.75,33579.75,32578.73,2.24B,-1.99%
2/27/2022,33614.80,33870.62,34179.07,33107.67,2.08B,-1.30%
2/20/2022,34058.75,33974.09,34095.74,32272.64,1.83B,-0.06%
2/13/2022,34079.18,34694.50,35047.79,33976.18,1.75B,-1.90%
2/6/2022,34738.06,35108.38,35824.28,34620.52,1.83B,-1.00%
1/30/2022,35089.74,34691.17,35679.20,34496.10,1.97B,1.05%
1/23/2022,34725.47,34070.61,34815.67,33150.33,2.85B,1.34%
1/16/2022,34265.37,35661.76,35661.76,34229.55,1.71B,-4.58%
1/9/2022,35911.81,36175.21,36513.88,35639.91,1.87B,-0.88%
1/2/2022,36231.66,36321.59,36952.65,36111.53,2.00B,-0.29%
12/26/2021,36338.30,35954.48,36679.44,35954.48,1.13B,1.08%
12/19/2021,35950.56,35222.12,36060.99,34665.50,1.28B,1.65%
12/12/2021,35365.44,35958.93,36189.83,35284.26,2.58B,-1.68%
12/5/2021,35970.99,34633.43,35982.69,34633.43,2.00B,4.02%
11/28/2021,34580.08,35017.71,35287.91,34006.98,2.51B,-0.91%
11/21/2021,34899.34,35631.41,35929.66,34749.80,1.43B,-1.97%
11/14/2021,35601.98,36128.83,36316.61,35555.37,1.80B,-1.38%
11/7/2021,36100.31,36416.46,36565.73,35915.27,1.39B,-0.63%
10/31/2021,36327.95,35833.65,36484.75,35797.97,1.52B,1.42%
10/24/2021,35819.56,35692.62,35892.92,35490.43,1.71B,0.40%
10/17/2021,35677.02,35221.02,35765.02,35035.94,1.52B,1.08%
10/10/2021,35294.76,34723.79,35320.97,34115.10,1.56B,1.58%
10/3/2021,34746.25,34312.96,34975.19,33821.58,1.55B,1.22%
9/26/2021,34326.46,34739.27,35061.12,33785.54,1.75B,-1.36%
9/19/2021,34798.00,34459.72,34879.78,33613.03,1.59B,0.62%
9/12/2021,34584.88,34665.50,34990.36,34510.30,1.85B,-0.07%
9/5/2021,34607.72,35373.24,35373.24,34599.61,1.15B,-2.15%
8/29/2021,35369.09,35471.80,35510.71,35269.40,1.34B,-0.24%
8/22/2021,35455.80,35160.97,35501.14,35160.97,1.20B,0.96%
8/15/2021,35120.08,35490.83,35631.19,34690.25,1.50B,-1.11%
8/8/2021,35515.38,35229.67,35610.57,35041.24,1.17B,0.87%
8/1/2021,35208.51,34968.56,35246.79,34714.33,1.20B,0.78%
7/25/2021,34935.47,35055.86,35171.52,34871.13,1.45B,-0.36%
7/18/2021,35061.55,34528.48,35095.33,33741.76,1.78B,1.08%
7/11/2021,34687.85,34836.75,35090.01,34647.82,1.62B,-0.52%
7/4/2021,34870.16,34790.16,34893.72,34145.59,1.29B,0.24%
6/27/2021,34786.35,34428.10,34821.93,34186.13,1.44B,1.02%
6/20/2021,34433.84,33312.07,34501.02,33312.07,1.60B,3.44%
6/13/2021,33290.08,34472.52,34472.52,33271.93,1.85B,-3.45%
6/6/2021,34479.60,34766.20,34820.91,34328.65,1.38B,-0.80%
5/30/2021,34756.39,34584.19,34849.32,34334.41,1.13B,0.66%
5/23/2021,34529.45,34253.87,34631.11,34253.87,1.61B,0.94%
5/16/2021,34207.84,34375.29,34415.48,33473.80,1.58B,-0.51%
5/9/2021,34382.13,34785.27,35091.56,33555.22,1.83B,-1.14%
5/2/2021,34777.76,33904.89,34811.39,33765.68,1.59B,2.67%
4/25/2021,33874.85,34044.23,34148.94,33744.28,1.72B,-0.50%
4/18/2021,34043.49,34182.38,34182.38,33687.01,1.66B,-0.46%
4/11/2021,34200.67,33775.06,34256.75,33545.84,1.65B,1.18%
4/4/2021,33800.60,33222.38,33810.87,33222.38,1.55B,1.95%
3/28/2021,33153.21,33087.55,33259.00,32905.13,1.40B,0.24%
3/21/2021,33072.88,32601.82,33098.83,32071.41,1.97B,1.36%
3/14/2021,32627.97,32798.84,33227.78,32505.07,2.41B,-0.46%
3/7/2021,32778.64,31512.15,32793.32,31512.15,2.12B,4.07%
2/28/2021,31496.30,31065.90,31668.34,30547.53,2.20B,1.82%
2/21/2021,30932.37,31381.12,32009.64,30911.37,2.26B,-1.78%
2/14/2021,31494.32,31472.08,31647.53,31285.32,1.36B,0.11%
2/7/2021,31458.40,31191.20,31543.82,31191.20,1.52B,1.00%
1/31/2021,31148.24,30054.73,31252.18,30014.97,1.63B,3.89%
1/24/2021,29982.62,30989.85,31121.42,29856.30,2.43B,-3.27%
1/17/2021,30996.98,30887.42,31272.22,30865.03,1.63B,0.59%
1/10/2021,30814.26,31015.37,31223.78,30612.67,2.01B,-0.91%
1/3/2021,31097.97,30627.47,31193.40,29881.82,2.14B,1.61%
12/27/2020,30606.48,30283.23,30637.47,30274.24,1.25B,1.35%
12/20/2020,30199.87,30159.00,30304.14,29755.53,1.26B,0.07%
12/13/2020,30179.05,30123.91,30343.59,29849.15,2.28B,0.44%
12/6/2020,30046.37,30233.03,30319.70,29820.84,1.79B,-0.57%
11/29/2020,30218.26,29854.51,30218.26,29463.64,2.16B,1.03%
11/22/2020,29910.37,29332.82,30116.51,29332.82,1.33B,2.21%
11/15/2020,29263.48,29672.36,29964.29,29228.38,1.82B,-0.73%
11/8/2020,29479.81,29467.90,29933.83,28902.13,2.31B,4.08%
11/1/2020,28323.40,26691.28,28495.05,26691.28,1.91B,6.87%
10/25/2020,26501.60,28185.82,28185.82,26143.77,2.22B,-6.47%
10/18/2020,28335.57,28633.55,28711.93,28040.18,1.70B,-0.95%
10/11/2020,28606.31,28671.12,28957.90,28181.54,2.08B,0.07%
10/4/2020,28586.90,27825.42,28676.29,27728.03,1.73B,3.27%
9/27/2020,27682.81,27362.14,28041.46,27338.09,1.94B,1.87%
9/20/2020,27173.96,27484.71,27484.71,26537.01,2.25B,-1.75%
9/13/2020,27657.42,27718.74,28364.77,27487.97,2.36B,-0.03%
9/6/2020,27665.64,27925.23,28206.21,27447.08,1.94B,-1.66%
8/30/2020,28133.31,28643.66,29199.35,27664.68,2.85B,-1.82%
8/23/2020,28653.87,28077.58,28733.35,28041.75,1.83B,2.59%
8/16/2020,27930.33,27970.05,27999.81,27526.25,1.56B,0.00%
8/9/2020,27931.02,27488.21,28154.88,27488.21,1.78B,1.81%
8/2/2020,27433.48,26542.32,27456.24,26534.38,1.81B,3.80%
7/26/2020,26428.32,26447.67,26625.46,25992.28,1.96B,-0.16%
