Player,Player Votes,Player Rank,Fan Votes,Fan Rank,Media Votes,Media Rank,Weighted Score
,,,,,,,
"Mitchell, Donovan (CLE) ",116,1,"1,971,218",2,82,1,1.5
,,,,,,,
"Brunson, Jalen (NYK) ",106,2,"1,691,755",3,75,2,2.5
,,,,,,,
"Ball, LaMelo (CHA) ",68,3,"2,421,385",1,3,7,3
,,,,,,,
"Young, Trae (ATL) ",63,4,"923,023",5,4,6,5
,,,,,,,
"Lillard, Damian (MIL) ",26,8,"1,570,294",4,5,5,5.25
,,,,,,,
"Cunningham, Cade (DET) ",54,5,"860,758",6,10,4,5.25
,,,,,,,
"Garland, Darius (CLE) ",54,5,"579,327",8,11,3,6
,,,,,,,
"Maxey, Tyrese (PHI) ",40,7,"787,282",7,0,8,7.25
,,,,,,,
"Herro, Tyler (MIA) ",18,10,"370,152",10,0,8,9.5
,,,,,,,
"Poole, Jordan (WAS) ",11,14,"430,906",9,0,8,10
,,,,,,,
"Hart, Josh (NYK) ",18,10,"369,251",11,0,8,10
,,,,,,,
"White, Derrick (BOS) ",18,10,"346,761",12,0,8,10.5
,,,,,,,
"Haliburton, Tyrese (IND) ",18,10,"250,977",13,0,8,11
,,,,,,,
"Holiday, Jrue (BOS) ",24,9,"178,411",14,0,8,11.25
,,,,,,,
"LaVine, Zach (CHI) ",10,15,"177,857",15,0,8,13.25
,,,,,,,
"Thomas, Cam (BKN) ",6,19,"163,297",16,0,8,14.75
,,,,,,,
"Daniels, Dyson (ATL) ",8,16,"63,345",20,0,8,16
,,,,,,,
"Dick, Gradey (TOR) ",3,26,"66,747",19,0,8,18
,,,,,,,
"Coulibaly, Bilal (WAS) ",5,22,"50,954",22,0,8,18.5
,,,,,,,
"McCain, Jared (PHI) ",2,32,"93,058",18,0,8,19
,,,,,,,
"Suggs, Jalen (ORL) ",3,26,"60,804",21,0,8,19
,,,,,,,
"White, Coby (CHI) ",5,22,"37,355",24,0,8,19.5
,,,,,,,
"Bogdanovic, Bogdan (ATL) ",6,19,"30,489",26,0,8,19.75
,,,,,,,
"Russell, D'Angelo (LAL/BKN) ",2,32,"37,116",25,0,8,22.5
,,,,,,,
"Rozier, Terry (MIA) ",4,24,"24,146",29,0,8,22.5
,,,,,,,
"Beasley, Malik (DET) ",3,26,"21,478",31,0,8,24
,,,,,,,
"Thompson, Ausar (DET) ",3,26,"19,860",32,0,8,24.5
,,,,,,,
"Mann, Tre (CHA) ",6,19,"17,008",36,0,8,24.75
,,,,,,,
"Ball, Lonzo (CHI) ",7,18,"13,965",38,0,8,25.5
,,,,,,,
"Mathurin, Bennedict (IND) ",1,43,"28,379",27,0,8,26.25
,,,,,,,
,,,,,,,
"Jackson Jr., Andre (MIL) ",1,43,"24,485",28,0,8,26.75
,,,,,,,
"Giddey, Josh (CHI) ",2,32,"19,268",34,0,8,27
,,,,,,,
"Quickley, Immanuel (TOR) ",1,43,"23,173",30,0,8,27.75
,,,,,,,
"Pritchard, Payton (BOS) ",0,70,"141,971",17,0,8,28
,,,,,,,
"Nembhard, Andrew (IND) ",8,16,"7,173",44,0,8,28
,,,,,,,
"Anthony, Cole (ORL) ",2,32,"14,076",37,0,8,28.5
,,,,,,,
"Simmons, Ben (BKN) ",1,43,"19,346",33,0,8,29.25
,,,,,,,
"Ivey, Jaden (DET) ",0,70,"40,545",23,0,8,31
,,,,,,,
"Black, Anthony (ORL) ",2,32,"10,790",42,0,8,31
,,,,,,,
"Agbaji, Ochai (TOR) ",4,24,"6,560",46,0,8,31
,,,,,,,
"Caldwell-Pope, Kentavious (ORL) ",1,43,"11,234",40,0,8,32.75
,,,,,,,
"Micic, Vasilije (CHA) ",1,43,"8,956",43,0,8,34.25
,,,,,,,
"McConnell, T.J. (IND) ",1,43,"6,655",45,0,8,35.25
,,,,,,,
"Dosunmu, Ayo (CHI) ",2,32,"4,570",51,0,8,35.5
,,,,,,,
"Hardaway Jr., Tim (DET) ",1,43,"5,773",47,0,8,36.25
,,,,,,,
"Green, AJ (MIL) ",0,70,"18,166",35,0,8,37
,,,,,,,
"LeVert, Caris (CLE) ",2,32,"4,204",54,0,8,37
,,,,,,,
"Trent Jr., Gary (MIL) ",0,70,"11,371",39,0,8,39
,,,,,,,
"Smith, Dru (MIA) ",2,32,"3,436",58,0,8,39
,,,,,,,
"Curry, Seth (CHA) ",0,70,"10,835",41,0,8,40
,,,,,,,
"Larsson, Pelle (MIA) ",2,32,"3,086",61,0,8,40.5
,,,,,,,
