Player Name (Team) ,Player Total Votes ,Player Rank ,Fan Total Votes ,Fan Rank ,Media Total Votes ,Media Rank ,Weighted Score 
,,,,,,,
"Antetokounmpo, Giannis (MIL) ",190,1,"4,435,266",1,95,1,1
,,,,,,,
"Tatum, Jayson (BOS) ",149,2,"3,613,835",2,95,1,1.75
,,,,,,,
"Towns, Karl-Anthony (NYK) ",123,3,"3,203,104",3,91,3,3
,,,,,,,
"Banchero, Paolo (ORL) ",46,5,"1,412,643",4,0,5,4.5
,,,,,,,
"Mobley, Evan (CLE) ",74,4,"696,270",6,4,4,5
,,,,,,,
"Brown, Jaylen (BOS) ",43,6,"1,179,230",5,0,5,5.25
,,,,,,,
"Wagner, Franz (ORL) ",22,11,"576,987",7,0,5,7.5
,,,,,,,
"Allen, Jarrett (CLE) ",36,8,"509,322",9,0,5,7.75
,,,,,,,
"Embiid, Joel (PHI) ",42,7,"495,558",10,0,5,8
,,,,,,,
"Bridges, Mikal (NYK) ",22,11,"434,148",11,0,5,9.5
,,,,,,,
"Butler, Jimmy (MIA) ",9,20,"551,814",8,0,5,10.25
,,,,,,,
"George, Paul (PHI) ",26,10,"365,555",13,0,5,10.25
,,,,,,,
"Anunoby, OG (NYK) ",21,13,"389,639",12,0,5,10.5
,,,,,,,
"Adebayo, Bam (MIA) ",30,9,"229,518",16,0,5,11.5
,,,,,,,
"Johnson, Jalen (ATL) ",16,15,"254,079",14,0,5,12
,,,,,,,
"Porzingis, Kristaps (BOS) ",14,16,"252,254",15,0,5,12.75
,,,,,,,
"Siakam, Pascal (IND) ",19,14,"150,273",20,0,5,14.75
,,,,,,,
"Barnes, Scottie (TOR) ",9,20,"224,189",19,0,5,15.75
,,,,,,,
"Vucevic, Nikola (CHI) ",9,20,"129,362",21,0,5,16.75
,,,,,,,
"Johnson, Cameron (BKN) ",9,20,"74,103",23,0,5,17.75
,,,,,,,
"Miller, Brandon (CHA) ",5,34,"229,092",17,0,5,18.25
,,,,,,,
"Hunter, De'Andre (ATL) ",7,27,"82,533",22,0,5,19
,,,,,,,
"Niang, Georges (CLE) ",7,27,"68,444",24,0,5,20
,,,,,,,
"Turner, Myles (IND) ",11,19,"45,807",28,0,5,20
,,,,,,,
"Wade, Dean (CLE) ",4,37,"65,280",26,0,5,23.5
,,,,,,,
"Barrett, RJ (TOR) ",2,56,"224,677",18,0,5,24.25
,,,,,,,
"Kuzma, Kyle (WAS) ",5,34,"43,104",29,0,5,24.25
,,,,,,,
"Sarr, Alexandre (WAS) ",8,24,"36,068",34,0,5,24.25
,,,,,,,
"Horford, Al (BOS) ",5,34,"40,617",30,0,5,24.75
,,,,,,,
"Bridges, Miles (CHA) ",13,18,"31,307",38,0,5,24.75
,,,,,,,
"Portis, Bobby (MIL) ",3,42,"47,169",27,0,5,25.25
,,,,,,,
"Duren, Jalen (DET) ",6,32,"36,275",33,0,5,25.75
