Fuel Type Code,State,Latitude,Longitude,Country
CNG,AR,35.362213,-94.375338,US
CNG,MA,42.37470554648250,-71.02654861,US
CNG,MA,42.393167,-71.064352,US
CNG,NY,40.718037,-73.932309,US
CNG,NY,40.8441883,-73.8615724,US
CNG,NY,40.979001,-73.693048,US
CNG,IN,39.736169,-86.161743,US
CNG,WY,41.135848,-104.830233,US
CNG,NM,35.65758,-105.993406,US
CNG,KS,38.966292,-94.715917,US
CNG,KS,39.058754,-95.667854,US
CNG,TX,32.817883,-96.988716,US
CNG,TX,32.76662,-96.807086,US
CNG,TX,32.89683,-96.68401,US
CNG,UT,40.764976,-111.922291,US
CNG,UT,41.734633,-111.861488,US
CNG,UT,39.586805,-110.813433,US
CNG,UT,38.786621,-112.084147,US
CNG,CO,39.407087,-104.872002,US
CNG,CO,39.8379,-104.7085,US
CNG,NY,42.667569,-73.739345,US
CNG,OR,44.9224565,-123.003936,US
CNG,OK,35.406042,-97.503367,US
CNG,OK,34.185103,-97.107574,US
CNG,OK,36.393246,-97.942055,US
CNG,OK,36.13876,-95.911286,US
CNG,OK,35.740689,-95.396141,US
CNG,OK,36.730008,-97.093765,US
CNG,OK,35.346744,-96.930096,US
CNG,PA,40.080572,-75.252389,US
CNG,CA,39.20062,-121.062126,US
CNG,CA,36.969267,-121.999295,US
CNG,CA,35.317617,-119.039048,US
CNG,CA,36.72136,-119.761165,US
CNG,CA,36.67217,-121.641106,US
CNG,CA,37.51689164917230,-122.2624653,US
CNG,CA,37.956072,-122.028697,US
CNG,CA,37.642339,-122.117821,US
CNG,CA,37.916909,-122.344036,US
CNG,CA,37.951236,-122.499682,US
CNG,CA,37.335646,-122.021398,US
CNG,CA,37.990624,-121.283787,US
CNG,CA,38.428592,-122.766929,US
CNG,CA,38.888863,-121.074465,US
CNG,CA,38.545155,-121.731878,US
CNG,CA,38.52681700136840,-121.3904188,US
CNG,FL,30.633284,-87.041286,US
CNG,SC,34.829494,-82.310005,US
CNG,NC,35.860856,-78.594331,US
CNG,CA,32.631042,-117.057953,US
CNG,CA,33.13411446156780,-117.3323437,US
CNG,CA,32.978339,-117.034924,US
CNG,CA,32.876295,-117.166362,US
CNG,CA,33.862772,-117.234706,US
CNG,CA,34.030601,-118.465876,US
CNG,CA,34.025657,-118.031019,US
CNG,CA,33.968221,-118.109093,US
CNG,CA,33.758315,-118.293979,US
CNG,CA,34.209219,-118.496403,US
CNG,CA,34.091688,-117.87986,US
CNG,CA,34.23701978,-118.5977594,US
CNG,CA,33.778966,-118.007908,US
CNG,CA,33.676026,-117.764558,US
CNG,CA,34.191405,-119.161215,US
CNG,NV,36.220567,-115.125553,US
CNG,VA,36.864044,-76.217318,US
CNG,VA,37.083023,-76.463112,US
CNG,TN,35.166531,-89.972823,US
CNG,CA,33.941383,-118.377866,US
CNG,OK,35.602719,-95.962047,US
CNG,CA,39.710548,-121.812671,US
CNG,CA,38.3509,-121.977342,US
CNG,CA,33.714919,-116.211564,US
CNG,CA,33.932994,-118.119479,US
CNG,CA,33.801121,-117.889388,US
CNG,CA,33.899899,-118.207088,US
CNG,CA,34.047068,-117.634077,US
CNG,CA,33.823151,-116.508135,US
E85,SD,44.904113,-97.130798,US
E85,SD,44.00769,-97.146785,US
E85,IA,41.227917,-95.853279,US
E85,MO,38.588189,-92.255887,US
E85,SD,44.103769,-103.14969,US
ELEC,CA,34.040539,-118.271387,US
E85,MN,44.18791,-94.012676,US
ELEC,CA,32.89947,-117.243,US
