RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
1,Shai Gilgeous-Alexander,Okc,*,G,26.6,60,34.2,34.5,10.6,537,0.896,941,0.58,342,0.374,0.575,0.644,32.6,5.2,6.2,1.8,1,2.5,37.8,38.8,43.9,11.9,129.1,105.4
2,Giannis Antetokounmpo,Mil,*,F,30.2,48,34.1,35.9,14.2,501,0.591,928,0.623,42,0.19,0.608,0.62,30.8,12.1,6,0.8,1.3,3.3,42.8,36.7,48.8,15.3,119.4,104.1
3,Nikola Jokic,Den,*,C,30,55,36.1,29.2,14.6,331,0.822,805,0.619,243,0.444,0.63,0.667,28.9,12.7,10.4,1.8,0.7,3.3,41.7,39.4,52.1,17.3,133.9,107.3
4,Luka Doncic,Dal,,F-G,26,22,35.7,33,13.9,146,0.767,254,0.555,212,0.354,0.544,0.584,28.1,8.3,7.8,2,0.4,3.4,36.5,36,44.3,13.7,115.9,106.8
5,Anthony Edwards,Min,*,G,23.6,60,36.5,31.7,14,373,0.842,630,0.471,607,0.405,0.538,0.587,27.4,6,4.6,1.2,0.6,3.4,33.4,32,38,10,112.3,109.6
6,Kevin Durant,Pho,*,F,36.4,49,36.8,28.9,13.8,292,0.825,608,0.59,299,0.398,0.593,0.635,26.9,6,4.2,0.9,1.3,3,32.9,31.1,37.1,9.5,116.3,116.3
7,Jayson Tatum,Bos,*,F-G,27,58,36.5,30.9,12.6,364,0.802,582,0.553,585,0.352,0.541,0.585,26.8,8.8,5.8,1.1,0.5,2.9,35.6,32.6,41.5,12.2,116.7,105.4
8,Tyrese Maxey,Phi,*,G,24.3,52,37.7,30.1,10.2,289,0.879,613,0.515,478,0.337,0.511,0.562,26.3,3.3,6.1,1.8,0.4,2.4,29.7,32.4,35.8,8.6,114.3,115.1
9,LaMelo Ball,Cha,*,G,23.5,38,32.3,36.3,14,197,0.822,394,0.49,440,0.336,0.498,0.539,26.1,5.2,7,1.2,0.3,3.6,31.3,33.1,38.3,12.2,108.6,107.6
10,Jalen Brunson,Nyk,*,G,28.5,60,35.4,29.5,11.9,411,0.822,754,0.538,358,0.388,0.553,0.606,26.1,3,7.4,1,0.1,2.5,29.1,33.5,36.4,9.4,123.7,114.1
11,Anthony Davis,Dal,*,F-C,32,1,30.9,30,5.2,6,0.667,16,0.5,2,1,0.611,0.63,26,16,7,0,3,1,42,33,49,18.5,139,111.8
12,Devin Booker,Pho,*,G,28.3,56,37.3,29.1,13,383,0.89,620,0.532,431,0.346,0.527,0.594,25.9,4,6.9,1,0.3,2.8,29.8,32.7,36.7,9.6,119.1,116
13,Anthony Davis,Lal,,F-C,32,42,34.3,30.2,10.9,321,0.788,663,0.561,94,0.298,0.547,0.602,25.7,11.9,3.4,1.3,2.1,2.2,37.6,29.1,41,11.8,120.5,106.2
14,Damian Lillard,Mil,*,G,34.6,50,36.4,27.9,14.4,342,0.921,410,0.529,460,0.376,0.548,0.621,25.4,4.7,7.2,1.2,0.2,2.9,30,32.6,37.3,10.4,121.9,111.7
15,Cade Cunningham,Det,*,G,23.4,57,35.2,32.6,17.7,283,0.855,814,0.501,357,0.359,0.512,0.557,25.3,6.1,9.4,1,0.8,4.4,31.4,34.7,40.8,12.9,110.8,108.4
16,Franz Wagner,Orl,*,F,23.5,43,33.4,31.8,10.5,238,0.853,583,0.54,262,0.309,0.517,0.566,25,5.6,4.7,1.3,0.4,2.3,30.6,29.7,35.3,10.4,113.7,105.4
17,De'Aaron Fox,Sac,,G,27.2,45,37,28.8,13.1,246,0.829,597,0.539,286,0.322,0.521,0.567,25,5,6.1,1.5,0.4,3,30,31.1,36.1,9.9,113.2,111.2
