Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN
Osiedle Sielskiej Przyszłości,네 이웃의 식탁,POLAND,Polish(Polski),Gu Byeong-mo,구병모,Dominika Chybowska-Jang,Y,Mova,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788383716893
Далекое море,먼 바다,RUSSIAN FEDERATION,Russian(Русский),КОН ДЖИ ЙОН,공지영,Кузина Софья Владимировна,Y,Издательство АСТ,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171474737
El árbol desnudo,나목,SPAIN,Spanish(Español),KEUM SUK GENDRY-KIM,김금숙,Fabián Rodríguez Piastri,N,PONENT MON COMICS,2021,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9788418309076
La ragazza da odiare,죽이고 싶은 아이,ITALY,Italian(Italiano),Lee Kkoch-nim,이꽃님,Bochicchio S.,Y,La Nuova Frontiera,2025,KDC구분 > literature > Korean Literature > Children and Adolescents,9788883734823
Mon ami Kim Jong-Un,내 친구 김정은,FRANCE,French(Français),Keum Suk Gendry-Kim,김금숙,"Loïc Gendry,Young Joe Lee",Y,Futuropolis,2025,KDC구분 > literature > Korean Literature,9782754843027
The Second Chance Convenience Store,불편한 편의점,UNITED KINGDOM,English(English),Ho-Yeon Kim,김호연,Janet Hong,N,Pan Macmillan,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781035032891
Keramik för nybörjare,공방의 계절,SWEDEN,Swedish(Svenska),Yeon Somin,연소민,Nika Abiri,N,Bokförlaget Nona,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789180861229
Indeterminate Inflorescence,무한화서,UNITED KINGDOM,English(English),Lee Seong-Bok,이성복,Anton Hur,N,Allen Lane,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9780241728154
The Nine Cloud Dream,구운몽,UNKNOWN,English(English),Kim Man-jung,김만중,,N,Hangeul House,2024,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9798227835871
Samguk Yusa,삼국유사,UNKNOWN,English(English),Ilyon,일연,"Ha Tae-Hung,Grafton Mintz",N,Olympia Press,2016,KDC구분 > History > Asia > Korea,9781608723607
The Tale of Chun Hyang,춘향전,UNITED STATES,English(English),,,Cho Ryong Chul,N,Blackmask.Com,2012,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9781608724826
The Black Orb,절망의 구,UNITED STATES,English(English),Ewhan Kim,김이환,Sean Lin Halbert,N,MIRA,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780778387343
Neue Erzählungen von der goldenen Schildkröte,김시습 선집,GERMANY,German(Deutsch),Kim Sisŭp,김시습,Dennis Würthner,N,Reclam Verlag,2025,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9783150115305
The Greatest Short Stories of Kim Yu-jeong,김유정 단편선,UNKNOWN,English(English),Kim Yu-Jeong,김유정,Hayoung Kim,N,Hangeul House,2024,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9798227957689
Return to the DallerGut Dream Department Store,달러구트 꿈 백화점 2,UNITED KINGDOM,English(English),Miye Lee,이미예,Sandy Joosun Lee,N,Wildfire,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9781035412778
Your Neighbour&apos;s Table,네 이웃의 식탁,UNITED KINGDOM,English(English),Gu Byeong-mo,구병모,Chi-young Kim,N,Wildfire,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781035416479
ESTELA DE CONDENSACIÓN,비행운,SPAIN,Spanish(Español),Ae-ran Kim,김애란,"Han Seoa,Ana González Llorente",Y,Quaterni,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9788412821673
La cocina de los libros de Soyangri,책들의 부엌,SPAIN,Spanish(Español),Kim Jee-hye,김지혜,"Héctor Nicolás Braessas,Joo So Mee",N,Letras de plata,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788492919840
