RANK,PLAYER,COLLEGE,POS,GP,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1,Zach Edey,PUR,C,39,32,25.2,8.6,13.8,62.3,0,0.1,50,7.9,11.2,71.1,12.2,2,0.3,2.2,2.3
2,Tommy Bruner,DEN,G,34,33.8,24,7.7,17.7,43.5,2.4,6.8,35.3,6.2,7.6,80.8,2.8,4.2,1.3,0.1,3.6
3,Terrence Shannon Jr.,ILL,G,32,34,23,6.8,14.4,47.5,2.4,6.7,36.2,6.9,8.6,80.1,4,2.3,1,0.9,2
4,Tyler Thomas,HOF,G,33,37.9,22.5,8,19.4,41.4,3.8,10.2,37.1,2.6,3.1,86.1,5.2,3.3,1.3,0.5,2.1
5,Xavier Johnson,SIU,G,32,36.7,22.2,6.6,15.6,42.2,2.1,5.8,36.8,6.8,7.7,89,4.1,6.1,1.5,0.3,3.3
6,David Jones Garcia,MEM,F,32,32.4,21.8,7,15.2,45.9,2.5,6.5,38,5.4,6.8,79.7,7.6,1.8,2.2,0.4,3
7,Tyson Acuff,RUTG,G,27,37.9,21.7,8.1,18.7,43.3,1.8,6.2,29.2,3.7,4.5,81.1,3.6,2.8,1.1,0.1,2
8,Dalton Knecht,TENN,G,36,30.6,21.7,7.3,16,45.8,2.6,6.5,39.7,4.4,5.7,77.2,4.9,1.8,0.7,0.6,1.7
9,Jordan Sears,LSU,G,32,33.6,21.6,7.1,16.4,43.2,2.4,5.5,43.2,5.1,6,83.9,4.6,4.5,1.3,0.2,3.2
10,Tucker DeVries,WVU,G,34,35.5,21.6,7.2,16.2,44.4,2.6,7.1,36.3,4.6,5.7,81.3,6.7,3.7,1.6,0.3,2.5
11,Mark Sears,ALA,G,37,33.6,21.5,6.8,13.4,50.8,2.6,5.9,43.6,5.4,6.2,85.7,4.2,4,1.6,0.1,2.4
12,Jaedon LeDee,SDSU,F,36,32.6,21.4,7.3,13.1,56,0.6,1.3,44.4,6.3,8.6,73.4,8.4,1.3,1.2,0.5,2.4
13,Jordan Johnson,UNO,G,32,35.8,21.3,6.6,17,38.7,2.5,7.4,34,5.7,6.9,82.4,3.2,3.8,1.5,0.2,2.4
14,Jalen Blackmon,MIA,G,35,34.8,21.3,7,16.3,42.8,3.1,8.3,38.1,4.2,4.6,90.7,2.9,1.9,0.8,0.1,1.9
15,PJ Haggerty,MEM,G,31,33.6,21.2,6.4,13,49.3,0.7,2.5,28.9,7.6,10,76.7,5.5,3.8,1.9,0,2.6
16,RJ Davis,UNC,G,37,34.8,21.2,7,16.4,42.8,3.1,7.7,39.8,4.1,4.7,87.3,3.6,3.5,1.2,0.2,1.5
17,BJ Freeman,ASU,G,27,32.2,21.1,7,16.6,42.2,2.4,7,35.1,4.7,5.7,82.4,6.6,4.1,1.1,0.4,3.6
18,Vonterius Woolbright,WCU,G,32,35.3,21.1,7.4,16,46,0.3,1.3,24.4,6,8.4,71.7,12,5.6,0.6,0,3.5
19,Keion Brooks Jr.,WASH,F,32,35.1,21.1,7.1,14.6,48.7,1.6,4.3,38,5.2,6.5,79.4,6.8,1.4,0.7,0.8,1.9
20,Riley Minix,MORE,F,35,33.8,20.9,7.8,14.4,54.1,1.7,4.8,34.9,3.7,4.4,83.9,9.7,2.2,1.3,1,2.3
21,Landon Glasper,NCAT,G,24,36.1,20.9,6.3,17.8,35.7,2.6,8.6,30,5.6,7.4,75.8,3.6,2.2,1.4,0.1,1.9
22,Jayden Stone,WVU,G,26,35.9,20.8,7.2,17.1,42.2,2.4,7.7,31.2,4,5,79.4,5.6,2.7,1.5,0.3,2.5
23,Dillon Jones,WEB,F,31,37,20.8,6.9,14.2,48.9,1.1,3.4,32.4,5.8,6.8,85.7,9.8,5.2,2,0.1,3
24,David Coit,KU,G,29,37,20.8,6.9,17,40.7,3.2,9.6,33.7,3.7,4.2,88.5,3.2,3.4,0.9,0.2,2.4
25,Elijah Pepper,UCD,G,33,33,20.7,6.5,15.8,41.5,3.1,8.2,37.1,4.5,4.9,92,4.6,2.1,1.7,0.3,1.9
26,Drew Pember,UNCA,F,33,30.5,20.6,5.8,12.6,46.4,2,5.5,36.6,6.9,8.2,84.4,8.2,3.5,1,1.9,2.7
