Player,Player Votes,Player Rank,Fan Votes,Fan Rank,Media Votes,Media Rank,Weighted Score
"Jokic, Nikola (DEN) ",176,1,"3,724,344",1,94,1,1
,,,,,,,
"James, LeBron (LAL) ",138,2,"3,339,907",2,31,4,2.5
,,,,,,,
"Durant, Kevin (PHX) ",138,2,"3,166,509",3,27,5,3.25
,,,,,,,
"Wembanyama, Victor (SAS) ",73,4,"2,875,321",4,71,2,3.5
,,,,,,,
"Davis, Anthony (LAL) ",62,5,"2,370,379",5,49,3,4.5
,,,,,,,
"Sengun, Alperen (HOU) ",23,9,"950,117",6,2,8,7.25
,,,,,,,
"Williams, Jalen (OKC) ",40,6,"622,143",7,0,9,7.25
,,,,,,,
"Jackson Jr., Jaren (MEM) ",32,7,"396,911",10,7,6,8.25
,,,,,,,
"Sabonis, Domantas (SAC) ",29,8,"507,612",9,4,7,8.25
,,,,,,,
"Wiggins, Andrew (GSW) ",12,21,"555,452",8,0,9,11.5
,,,,,,,
"Green, Draymond (GSW) ",12,21,"317,491",11,0,9,13
,,,,,,,
"Williamson, Zion (NOP) ",13,17,"145,434",15,0,9,14
,,,,,,,
"Zubac, Ivica (LAC) ",14,15,"139,576",16,0,9,14
,,,,,,,
"Holmgren, Chet (OKC) ",11,25,"252,955",13,0,9,15
,,,,,,,
"Washington, P.J. (DAL) ",13,17,"126,965",17,0,9,15
,,,,,,,
"Lively II, Dereck (DAL) ",18,10,"87,172",22,0,9,15.75
,,,,,,,
"Gordon, Aaron (DEN) ",18,10,"86,996",23,0,9,16.25
,,,,,,,
"Porter Jr., Michael (DEN) ",18,10,"85,844",24,0,9,16.75
,,,,,,,
"Hartenstein, Isaiah (OKC) ",7,34,"247,171",14,0,9,17.75
,,,,,,,
"Randle, Julius (MIN) ",10,26,"115,121",18,0,9,17.75
,,,,,,,
"Markkanen, Lauri (UTA) ",10,26,"95,781",20,0,9,18.75
,,,,,,,
"Aldama, Santi (MEM) ",13,17,"70,913",26,0,9,19.5
,,,,,,,
"Gafford, Daniel (DAL) ",14,15,"70,631",27,0,9,19.5
,,,,,,,
"Kuminga, Jonathan (GSW) ",3,47,"293,748",12,0,9,20
,,,,,,,
"Gobert, Rudy (MIN) ",15,13,"65,393",29,0,9,20
,,,,,,,
"Murphy III, Trey (NOP/LAL) ",15,13,"44,256",32,0,9,21.5
,,,,,,,
"Leonard, Kawhi (LAC) ",8,32,"79,541",25,0,9,22.75
,,,,,,,
"Reid, Naz (MIN) ",12,21,"54,552",31,0,9,23
,,,,,,,
"Hachimura, Rui (LAL) ",3,47,"109,698",19,0,9,23.5
,,,,,,,
"Ingram, Brandon (NOP) ",9,29,"70,330",28,0,9,23.5
,,,,,,,
"Brooks, Dillon (HOU) ",6,37,"59,768",30,0,9,26.5
,,,,,,,
