Team,CONF,W,L,FPI,RK,TREND,PROJ W-L,WIN OUT%,6WINS%,WIN DIV%,WIN CONF%,PLAYOFF%,MAKE NC%,WIN NC%
Ohio State Buckeyes,Big Ten,14,2,27.9,1,2,13.6-2.4,0,100,0,0,100,100,100
Texas Longhorns,SEC,13,3,25.3,2,1,13.0-3.0,0,100,0,0,100,0,0
Notre Dame Fighting Irish,FBS Indep.,14,2,25.2,3,1,14.4-1.6,0,100,0,0,100,100,0
Alabama Crimson Tide,SEC,9,4,22.6,4,--,9.0-4.0,0,100,0,0,0,0,0
Ole Miss Rebels,SEC,10,3,21.7,5,3,10.0-3.0,0,100,0,0,0,0,0
Penn State Nittany Lions,Big Ten,13,3,21.4,6,3,13.0-3.0,0,100,0,0,100,0,0
Georgia Bulldogs,SEC,11,3,21.4,7,2,11.0-3.0,0,100,0,100,100,0,0
Oregon Ducks,Big Ten,13,1,20.9,8,2,13.0-1.0,0,100,0,100,100,0,0
Tennessee Volunteers,SEC,10,3,20.1,9,2,10.0-3.0,0,100,0,0,100,0,0
Indiana Hoosiers,Big Ten,11,2,19.4,10,--,11.0-2.0,0,100,0,0,100,0,0
Miami Hurricanes,ACC,10,3,16.9,11,--,10.0-3.0,0,100,0,0,0,0,0
Louisville Cardinals,ACC,9,4,15.6,12,--,9.0-4.0,0,100,0,0,0,0,0
SMU Mustangs,ACC,11,3,15,13,--,11.0-3.0,0,100,0,0,100,0,0
Clemson Tigers,ACC,10,4,14.3,14,1,10.0-4.0,0,100,0,100,100,0,0
South Carolina Gamecocks,SEC,9,4,14.2,15,1,9.0-4.0,0,100,0,0,0,0,0
Texas A&M Aggies,SEC,8,5,14.2,16,--,8.0-5.0,0,100,0,0,0,0,0
USC Trojans,Big Ten,7,6,14,17,1,7.0-6.0,0,100,0,0,0,0,0
LSU Tigers,SEC,9,4,14,18,1,9.0-4.0,0,100,0,0,0,0,0
Florida Gators,SEC,8,5,13,19,2,8.0-5.0,0,100,0,0,0,0,0
Missouri Tigers,SEC,10,3,12.5,20,--,10.0-3.0,0,100,0,0,0,0,0
Arizona State Sun Devils,Big 12,11,3,12.3,21,1,11.0-3.0,0,100,0,100,100,0,0
Iowa Hawkeyes,Big Ten,8,5,11.5,22,1,8.0-5.0,0,100,0,0,0,0,0
Colorado Buffaloes,Big 12,9,4,11.4,23,4,9.0-4.0,0,100,0,0,0,0,0
Kansas State Wildcats,Big 12,9,4,11,24,--,9.0-4.0,0,100,0,0,0,0,0
BYU Cougars,Big 12,11,2,10.8,25,7,11.0-2.0,0,100,0,0,0,0,0
Iowa State Cyclones,Big 12,11,3,10.6,26,2,11.0-3.0,0,100,0,0,0,0,0
Boise State Broncos,Mountain West,12,2,10.6,27,2,12.0-2.0,0,100,0,100,100,0,0
Minnesota Golden Gophers,Big Ten,8,5,10.4,28,3,8.0-5.0,0,100,0,0,0,0,0
Michigan Wolverines,Big Ten,8,5,10.4,29,1,8.0-5.0,0,100,0,0,0,0,0
Oklahoma Sooners,SEC,6,7,10.4,30,4,6.0-7.0,0,100,0,0,0,0,0
Auburn Tigers,SEC,5,7,9.6,31,2,5.0-7.0,0,0,0,0,0,0,0
