Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN,Rating Count,Rating,Price,Price Source
Osiedle Sielskiej Przyszłości,네 이웃의 식탁,POLAND,Polish(Polski),Gu Byeong-mo,구병모,Dominika Chybowska-Jang,Y,Mova,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788383716893,1115.0,3.44,12.99,Kindle
Далекое море,먼 바다,RUSSIAN FEDERATION,Russian(Русский),КОН ДЖИ ЙОН,공지영,Кузина Софья Владимировна,Y,Издательство АСТ,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171474737,0.0,0.0,-1.0,N/A
El árbol desnudo,나목,SPAIN,Spanish(Español),KEUM SUK GENDRY-KIM,김금숙,Fabián Rodríguez Piastri,N,PONENT MON COMICS,2021,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9788418309076,739.0,3.85,-1.0,N/A
La ragazza da odiare,죽이고 싶은 아이,ITALY,Italian(Italiano),Lee Kkoch-nim,이꽃님,Bochicchio S.,Y,La Nuova Frontiera,2025,KDC구분 > literature > Korean Literature > Children and Adolescents,9788883734823,0.0,0.0,11.99,Kindle
Mon ami Kim Jong-Un,내 친구 김정은,FRANCE,French(Français),Keum Suk Gendry-Kim,김금숙,"Loïc Gendry,Young Joe Lee",Y,Futuropolis,2025,KDC구분 > literature > Korean Literature,9782754843027,45.0,4.27,25.99,Kindle
The Second Chance Convenience Store,불편한 편의점,UNITED KINGDOM,English(English),Ho-Yeon Kim,김호연,Janet Hong,N,Pan Macmillan,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781035032891,8027.0,3.95,11.99,Kindle
Keramik för nybörjare,공방의 계절,SWEDEN,Swedish(Svenska),Yeon Somin,연소민,Nika Abiri,N,Bokförlaget Nona,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789180861229,-1.0,-1.0,-1.0,N/A
Indeterminate Inflorescence,무한화서,UNITED KINGDOM,English(English),Lee Seong-Bok,이성복,Anton Hur,N,Allen Lane,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9780241728154,1.0,5.0,-1.0,N/A
The Nine Cloud Dream,구운몽,UNKNOWN,English(English),Kim Man-jung,김만중,nan,N,Hangeul House,2024,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9798227835871,955.0,3.71,7.99,Kindle
Samguk Yusa,삼국유사,UNKNOWN,English(English),Ilyon,일연,"Ha Tae-Hung,Grafton Mintz",N,Olympia Press,2016,KDC구분 > History > Asia > Korea,9781608723607,94.0,3.98,7.99,Kindle
