Year,Highest,Title,Gross in Year,Theaters,Total Gross,Release Date,Distributor
2000,1,How the Grinch Stole Christmas,251628905,3256,261231700,17-Nov,Universal Pictures
2000,2,Mission: Impossible II,215409889,3669,215409889,24-May,Paramount Pictures
2000,3,Gladiator,186610052,3188,187705427,5-May,DreamWorks Distribution
2000,4,The Perfect Storm,182618434,3407,182618434,30-Jun,Warner Bros.
2000,5,Meet the Parents,161146255,2697,166244045,6-Oct,Universal Pictures
2000,6,X-Men,157299718,3112,157299718,14-Jul,Twentieth Century Fox
2000,7,Scary Movie,157019771,3301,157019771,7-Jul,Miramax
2000,8,What Lies Beneath,155359812,2925,155464351,21-Jul,DreamWorks Distribution
2000,9,Dinosaur,137748063,3319,137748063,19-May,Walt Disney Studios Motion Pictures
2000,10,Erin Brockovich,125595205,3070,125595205,17-Mar,Universal Pictures
2000,11,Nutty Professor II: The Klumps,123305415,3251,123309890,28-Jul,Universal Pictures
2000,12,Charlie's Angels,122693797,3037,125305545,3-Nov,Sony Pictures Releasing
2000,13,Big Momma's House,117559438,2854,117559438,2-Jun,Twentieth Century Fox
2000,14,Remember the Titans,113546621,2803,115654751,29-Sep,Walt Disney Studios Motion Pictures
2000,15,The Patriot,113330342,3061,113330342,28-Jun,Sony Pictures Releasing
2000,16,What Women Want,110187917,3092,182811707,15-Dec,Paramount Pictures
2000,17,Chicken Run,106834564,2953,106834564,23-Jun,DreamWorks Distribution
2000,18,Gone in 60 Seconds,101648571,3089,101648571,9-Jun,Walt Disney Studios Motion Pictures
2000,19,Cast Away,100628725,3061,233632142,22-Dec,Twentieth Century Fox
2000,20,"Me, Myself & Irene",90570999,3087,90570999,23-Jun,Twentieth Century Fox
2000,21,Space Cowboys,90107204,2835,90464773,4-Aug,Warner Bros.
2000,22,Scream 3,89143175,3467,89143175,4-Feb,Dimension Films
2000,23,Unbreakable,88304876,2708,95011339,22-Nov,Walt Disney Studios Motion Pictures
2000,24,U-571,77122415,2820,77122415,21-Apr,Universal Pictures
2000,25,Hollow Man,73209340,2956,73209340,4-Aug,Sony Pictures Releasing
2000,26,Stuart Little,72701240,3151,140035367,17-Dec,Sony Pictures Releasing
2000,27,Shaft,70334258,2433,70334258,16-Jun,Paramount Pictures
2000,28,The Green Mile,69839360,2875,136801374,10-Dec,Warner Bros.
2000,29,The Kid,69691949,2343,69691949,7-Jul,Walt Disney Studios Motion Pictures
2000,30,Rugrats in Paris,68941692,2937,76507756,17-Nov,Paramount Pictures
2000,31,Road Trip,68540777,2654,68540777,19-May,DreamWorks Distribution
2000,32,Bring It On,68337590,2466,68379000,25-Aug,Universal Pictures
2000,33,Rules of Engagement,61335230,3220,61335230,7-Apr,Paramount Pictures
2000,34,The Cell,61334059,2476,61334059,18-Aug,New Line Cinema
2000,35,Mission to Mars,60883407,3101,60883407,10-Mar,Walt Disney Studios Motion Pictures
2000,36,Coyote Ugly,60786269,2664,60786269,4-Aug,Walt Disney Studios Motion Pictures
2000,37,Snow Day,60020107,2717,60020107,11-Feb,Paramount Pictures
2000,38,Fantasia 2000,59809390,1313,60655420,1-Jan,Walt Disney Studios Motion Pictures
2000,39,American Beauty,59267786,1990,130096601,15-Sep,DreamWorks Distribution
2000,40,Next Friday,57328603,1420,57328603,12-Jan,New Line Cinema
2000,41,The Whole Nine Yards,57262492,2910,57262492,18-Feb,Warner Bros.
2000,42,Shanghai Noon,56937502,2751,56937502,26-May,Walt Disney Studios Motion Pictures
2000,43,Romeo Must Die,55973336,2641,55973336,22-Mar,Warner Bros.
2000,44,102 Dalmatians,55552178,2704,66957026,22-Nov,Walt Disney Studios Motion Pictures
2000,45,The Cider House Rules,54535422,1738,57545092,10-Dec,Miramax
2000,46,Final Destination,53331147,2587,53331147,17-Mar,New Line Cinema
2000,47,The Talented Mr. Ripley,51726616,2369,81298265,25-Dec,Paramount Pictures
2000,48,Galaxy Quest,51665118,2450,71583916,25-Dec,DreamWorks Distribution
2000,49,The Road to El Dorado,50863742,3223,50863742,31-Mar,DreamWorks Distribution
2000,50,The Hurricane,50336689,2148,50699241,29-Dec,Universal Pictures
2000,51,Vertical Limit,49834850,2602,69243859,8-Dec,Sony Pictures Releasing
2000,52,Men of Honor,47357207,2188,48818921,10-Nov,Twentieth Century Fox
2000,53,Toy Story 2,46009125,3257,245852179,19-Nov,Walt Disney Studios Motion Pictures
2000,54,The Tigger Movie,45554533,2818,45554533,11-Feb,Walt Disney Studios Motion Pictures
2000,55,Frequency,45010278,2631,45010278,28-Apr,New Line Cinema
2000,56,The Replacements,44737059,2754,44737059,11-Aug,Warner Bros.
2000,57,Pokémon the Movie 2000,43758684,2752,43758684,21-Jul,Warner Bros.
2000,58,Miss Congeniality,41784460,2668,106807667,22-Dec,Warner Bros.
2000,59,Any Given Sunday,39882713,2505,75530832,22-Dec,Warner Bros.
2000,60,The Beach,39785027,2587,39785027,11-Feb,Twentieth Century Fox
2000,61,The Exorcist,39671011,1708,39671011,22-Sep,Warner Bros.
2000,,2000 Director's Cut,,,,,
2000,62,Pitch Black,39240659,1930,39240659,18-Feb,USA Films
2000,63,The Emperor's New Groove,38960149,2887,89302687,15-Dec,Walt Disney Studios Motion Pictures
2000,64,The Family Man,38817090,2441,75793305,22-Dec,Universal Pictures
2000,65,Little Nicky,38801062,2910,39464775,10-Nov,New Line Cinema
2000,66,The Original Kings of Comedy,38182790,1082,38182790,18-Aug,Paramount Pictures
2000,67,Autumn in New York,37761915,2282,37761915,11-Aug,Metro-Goldwyn-Mayer (MGM)
2000,68,Bedazzled,37472420,2571,37886980,20-Oct,Twentieth Century Fox
2000,69,28 Days,37170488,2523,37170488,14-Apr,Sony Pictures Releasing
2000,70,Keeping the Faith,37047880,2171,37047880,14-Apr,Walt Disney Studios Motion Pictures
2000,71,Bounce,36637217,2028,36805288,17-Nov,Miramax
2000,72,Hanging Up,36050230,2618,36050230,18-Feb,Sony Pictures Releasing
2000,73,The Flintstones in Viva Rock Vegas,35268275,3125,35268275,28-Apr,Universal Pictures
2000,74,The Skulls,35046120,2416,35046120,31-Mar,Universal Pictures
2000,75,Mysteries of Egypt,34271224,27,40593486,21-Aug,IMAX
2000,76,The 6th Day,34259361,2516,34604280,17-Nov,Sony Pictures Releasing
2000,77,My Dog Skip,34134641,2331,34134641,14-Jan,Warner Bros.
2000,78,Where the Heart Is,33772838,2439,33772838,28-Apr,Twentieth Century Fox
2000,79,"Dude, Where's My Car?",33113843,2100,46729800,15-Dec,Twentieth Century Fox
2000,80,Pay It Forward,32960771,2130,33519628,20-Oct,Warner Bros.
2000,81,Return to Me,32722798,2320,32722798,7-Apr,Metro-Goldwyn-Mayer (MGM)
2000,82,Almost Famous,31932799,2262,32534850,15-Sep,DreamWorks Distribution
2000,83,The Legend of Bagger Vance,30688488,2162,30919168,3-Nov,DreamWorks Distribution
2000,84,The Art of War,30208599,2630,30208599,25-Aug,Warner Bros.
2000,85,Bless the Child,29381494,2524,29381494,11-Aug,Paramount Pictures
2000,86,The Watcher,28946615,2777,28946615,8-Sep,Universal Pictures
2000,87,"Girl, Interrupted",28562738,1935,28912646,21-Dec,Sony Pictures Releasing
2000,88,Love & Basketball,27459615,1245,27459615,21-Apr,New Line Cinema
2000,89,High Fidelity,27287137,1231,27287137,31-Mar,Walt Disney Studios Motion Pictures
2000,90,Book of Shadows: Blair Witch 2,26437094,3320,26437094,27-Oct,Artisan Entertainment
2000,91,Proof of Life,26380380,2705,32598931,8-Dec,Warner Bros.
