Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Zach Edey,C,39,32,25.2,8.6,13.8,62.3,0,0.1,50,7.9,11.2,71.1,12.2,2,0.3,2.2,2.3
Tommy Bruner,G,34,33.8,24,7.7,17.7,43.5,2.4,6.8,35.3,6.2,7.6,80.8,2.8,4.2,1.3,0.1,3.6
Terrence Shannon Jr.,G,32,34,23,6.8,14.4,47.5,2.4,6.7,36.2,6.9,8.6,80.1,4,2.3,1,0.9,2
Tyler Thomas,G,33,37.9,22.5,8,19.4,41.4,3.8,10.2,37.1,2.6,3.1,86.1,5.2,3.3,1.3,0.5,2.1
Xavier Johnson,G,32,36.7,22.2,6.6,15.6,42.2,2.1,5.8,36.8,6.8,7.7,89,4.1,6.1,1.5,0.3,3.3
David Jones Garcia,F,32,32.4,21.8,7,15.2,45.9,2.5,6.5,38,5.4,6.8,79.7,7.6,1.8,2.2,0.4,3
Tyson Acuff,G,27,37.9,21.7,8.1,18.7,43.3,1.8,6.2,29.2,3.7,4.5,81.1,3.6,2.8,1.1,0.1,2
Dalton Knecht,G,36,30.6,21.7,7.3,16,45.8,2.6,6.5,39.7,4.4,5.7,77.2,4.9,1.8,0.7,0.6,1.7
Jordan Sears,G,32,33.6,21.6,7.1,16.4,43.2,2.4,5.5,43.2,5.1,6,83.9,4.6,4.5,1.3,0.2,3.2
Tucker DeVries,G,34,35.5,21.6,7.2,16.2,44.4,2.6,7.1,36.3,4.6,5.7,81.3,6.7,3.7,1.6,0.3,2.5
Mark Sears,G,37,33.6,21.5,6.8,13.4,50.8,2.6,5.9,43.6,5.4,6.2,85.7,4.2,4,1.6,0.1,2.4
Jaedon LeDee,F,36,32.6,21.4,7.3,13.1,56,0.6,1.3,44.4,6.3,8.6,73.4,8.4,1.3,1.2,0.5,2.4
Jordan Johnson,G,32,35.8,21.3,6.6,17,38.7,2.5,7.4,34,5.7,6.9,82.4,3.2,3.8,1.5,0.2,2.4
Jalen Blackmon,G,35,34.8,21.3,7,16.3,42.8,3.1,8.3,38.1,4.2,4.6,90.7,2.9,1.9,0.8,0.1,1.9
PJ Haggerty,G,31,33.6,21.2,6.4,13,49.3,0.7,2.5,28.9,7.6,10,76.7,5.5,3.8,1.9,0,2.6
RJ Davis,G,37,34.8,21.2,7,16.4,42.8,3.1,7.7,39.8,4.1,4.7,87.3,3.6,3.5,1.2,0.2,1.5
BJ Freeman,G,27,32.2,21.1,7,16.6,42.2,2.4,7,35.1,4.7,5.7,82.4,6.6,4.1,1.1,0.4,3.6
Vonterius Woolbright,G,32,35.3,21.1,7.4,16,46,0.3,1.3,24.4,6,8.4,71.7,12,5.6,0.6,0,3.5
Keion Brooks Jr.,F,32,35.1,21.1,7.1,14.6,48.7,1.6,4.3,38,5.2,6.5,79.4,6.8,1.4,0.7,0.8,1.9
Riley Minix,F,35,33.8,20.9,7.8,14.4,54.1,1.7,4.8,34.9,3.7,4.4,83.9,9.7,2.2,1.3,1,2.3
Landon Glasper,G,24,36.1,20.9,6.3,17.8,35.7,2.6,8.6,30,5.6,7.4,75.8,3.6,2.2,1.4,0.1,1.9
Jayden Stone,G,26,35.9,20.8,7.2,17.1,42.2,2.4,7.7,31.2,4,5,79.4,5.6,2.7,1.5,0.3,2.5
Dillon Jones,F,31,37,20.8,6.9,14.2,48.9,1.1,3.4,32.4,5.8,6.8,85.7,9.8,5.2,2,0.1,3
David Coit,G,29,37,20.8,6.9,17,40.7,3.2,9.6,33.7,3.7,4.2,88.5,3.2,3.4,0.9,0.2,2.4
Elijah Pepper,G,33,33,20.7,6.5,15.8,41.5,3.1,8.2,37.1,4.5,4.9,92,4.6,2.1,1.7,0.3,1.9
Drew Pember,F,33,30.5,20.6,5.8,12.6,46.4,2,5.5,36.6,6.9,8.2,84.4,8.2,3.5,1,1.9,2.7
Marcus Hill,G,34,36.3,20.5,7.5,16.9,44.3,0.8,2.6,28.9,4.8,6.4,74,5,2.6,1,0.3,2.6
Xander Rice,G,33,35.2,20.4,6.1,15.9,38.3,2.8,7.9,34.9,5.5,6.5,85,3,3.6,1.3,0.1,2.1
Jahmir Young,G,32,35.3,20.4,6.2,15.4,40.4,1.8,5.4,32.4,6.2,6.9,90,4.9,4.2,1.3,0.3,2.7
DaRon Holmes II,C,33,32.4,20.4,6.6,12.1,54.4,1,2.5,38.6,6.2,8.8,71.3,8.5,2.6,0.9,2.1,2.2
Antonio Reeves,G,33,31.5,20.2,7.1,13.9,51.2,2.5,5.7,44.7,3.4,4,86.3,4.2,1.6,0.7,0.2,1.2
Frankie Fidler,F,33,36,20.1,6,13.3,45.2,1.6,4.4,35.6,6.5,7.7,85.4,6.3,2.6,1.2,0.4,1.6
Tyon Grant-Foster,G,34,33.4,20.1,6.2,14,44.6,1.5,4.4,33.1,6.2,8.3,74.5,6.1,1.6,1.7,1.5,2.5
Noah Reynolds,G,27,33.4,20,7.5,14.6,51.1,1.3,3.7,34,3.8,4.8,79.1,3.7,4.5,0.8,0.5,2.7
