"Date","iOS","Android","BlackBerry OS","Windows","Unknown","Samsung","SymbianOS","Series 40","Playstation","Nintendo 3DS","webOS","Nintendo","Linux","LG","Brew","Sony Ericsson","Nokia Unknown","Other"
2010-03,45.49,14.44,28.67,0.72,3.55,1.56,0.87,0,1.68,0,1.05,0.65,0,0.4,0,0.33,0,0.59
2010-04,43.33,13.37,30.46,0.46,5.12,2.02,0.94,0,1.73,0,1.16,0.47,0,0.26,0,0.32,0,0.35
2010-05,42.58,9.75,30.56,0.16,9.05,3.1,0.98,0,1.56,0,1.42,0.45,0,0.06,0,0.3,0,0.04
2010-06,40.06,9.63,31.8,0.13,10.11,3.13,1.19,0,1.65,0,1.44,0.49,0,0.05,0,0.3,0,0.03
2010-07,37.99,16.85,32.77,0.33,4.25,2.47,1.46,0,1.41,0,1.33,0.46,0,0.18,0,0.27,0,0.23
2010-08,36.55,19.1,34.42,0.3,2.77,2.14,1.35,0,1.08,0,1.17,0.45,0,0.18,0,0.24,0,0.23
2010-09,37.32,23.22,29.45,0.29,3.22,2.28,1.37,0,0.84,0,1.1,0.32,0,0.15,0,0.25,0,0.2
2010-10,35.16,23.34,32.02,0.28,3.49,1.94,1.36,0,0.69,0,0.95,0.27,0,0.12,0,0.24,0,0.15
2010-11,32.96,23.77,34.34,0.25,3.32,1.92,1.22,0,0.64,0,0.84,0.27,0,0.1,0,0.24,0,0.13
2010-12,33.55,25.46,32.15,0.23,3.27,1.98,1.19,0,0.69,0,0.75,0.3,0,0.09,0,0.21,0,0.12
2011-01,35.04,26.68,27.78,0.44,3.11,1.89,2.97,0,0.65,0,0.65,0.32,0,0.08,0,0.3,0,0.09
2011-02,36.74,29.31,23.39,0.66,2.96,1.83,3.16,0,0.61,0,0.6,0.28,0,0.07,0,0.31,0,0.08
2011-03,39.01,31.83,20.66,0.71,2.86,1.62,1.52,0,0.61,0,0.55,0.31,0,0.06,0,0.18,0,0.07
2011-04,36.8,30.81,23.31,0.7,2.59,1.56,2.54,0,0.6,0,0.47,0.3,0,0.05,0,0.21,0,0.06
2011-05,34.09,32.23,23.45,0.64,2.44,1.57,4.07,0,0.51,0,0.38,0.24,0,0.05,0,0.28,0,0.05
2011-06,36.05,34.79,16.6,0.66,2.42,1.79,5.99,0,0.6,0,0.36,0.27,0,0.05,0,0.36,0,0.05
2011-07,38.65,35.8,15.87,0.72,2.27,1.44,3.83,0,0.56,0,0.32,0.28,0,0.04,0,0.19,0,0.04
2011-08,38.1,39.37,13.83,0.8,2.35,1.3,2.9,0,0.62,0,0.31,0.29,0,0.02,0,0.09,0,0.04
2011-09,39.12,39.52,12.2,0.9,2.6,1.28,3.12,0,0.58,0,0.29,0.25,0,0.02,0,0.07,0,0.03
2011-10,40.4,40.03,10.1,1.02,2.7,1.19,3.22,0,0.62,0,0.25,0.28,0.03,0.02,0,0.06,0,0.09
2011-11,42.79,39.67,7.6,0.99,1.95,1.08,4.66,0,0.57,0,0.22,0.25,0.05,0.02,0,0.06,0,0.09
2011-12,42.52,40.92,6.52,0.95,1.92,1.1,4.68,0,0.58,0.15,0.19,0.24,0.05,0.01,0,0.08,0,0.08
2012-01,45.37,41.77,5.83,0.88,1.73,0.98,2.1,0,0.5,0.32,0.15,0.19,0.05,0.01,0,0.06,0,0.07
2012-02,47.42,41.66,5.23,0.9,1.45,0.81,1.44,0,0.39,0.26,0.13,0.14,0.05,0.01,0,0.05,0,0.07
2012-03,48.35,40.83,4.93,0.96,1.44,0.8,1.42,0,0.47,0.35,0.1,0.15,0.06,0.01,0.01,0.05,0,0.07
2012-04,48.85,40.69,4.25,1,1.25,0.72,1.3,0.57,0.45,0.41,0.09,0.16,0.06,0.01,0.08,0.05,0,0.06
2012-05,48.82,40.44,4.02,1.12,1.18,0.73,0.4,1.92,0.43,0.44,0.08,0.15,0.06,0.01,0.09,0.06,0,0.05
2012-06,50.21,39.77,3.64,1.05,1.11,0.64,0.32,1.95,0.41,0.44,0.07,0.14,0.05,0.01,0.11,0.04,0,0.05
2012-07,50.43,40.31,3.24,1.24,1.07,0.53,0.21,1.48,0.43,0.5,0.06,0.18,0.06,0.01,0.11,0.03,0,0.12
