"Date","Android","iOS","Windows","BlackBerry OS","SymbianOS","Series 40","Samsung","Unknown","Sony Ericsson","bada","Nokia Unknown","Linux","Playstation","LG","Nintendo 3DS","Other"
2010-03,3.75,49.45,1.1,9.94,22.26,0,1.59,3.17,6.45,0,0,0,1.47,0.22,0,0.6
2010-04,3.72,49.92,0.75,11.32,20.11,0,1.78,4.21,6.03,0,0,0,1.48,0.17,0,0.52
2010-05,2.39,50.56,0.3,12.11,18.29,0,2.26,6.23,5.99,0,0,0,1.28,0.1,0,0.49
2010-06,2.68,48.31,0.27,13.85,17.63,0,2.39,6.83,6.2,0,0,0,1.28,0.11,0,0.44
2010-07,7.41,45.67,0.51,16.4,16.78,0,2.24,3.72,5.58,0,0,0,1.12,0.18,0,0.39
2010-08,9.26,46.82,0.5,16.08,15.82,0,2.28,2.82,4.95,0,0,0,0.93,0.17,0,0.37
2010-09,10.54,44.28,0.44,18.15,15.35,0,2.28,3.01,4.84,0,0,0,0.64,0.16,0,0.31
2010-10,11.67,44.01,0.63,18.48,15.36,0,2.14,1.97,4.64,0,0,0,0.6,0.14,0,0.36
2010-11,12.59,42.28,0.56,20.55,14.45,0,2.3,1.68,4.26,0,0,0,0.53,0.15,0,0.64
2010-12,14.41,42.52,0.53,19.22,13.94,0,2.44,1.66,3.87,0,0,0,0.55,0.15,0,0.72
2011-01,16.37,44.95,0.69,16.78,12.57,0,2.4,1.61,3.33,0,0,0,0.49,0.13,0,0.68
2011-02,17.24,44.79,0.82,16.77,12.2,0,2.37,1.49,3.12,0,0,0,0.44,0.13,0,0.62
2011-03,17.97,44.53,0.8,17.17,11.76,0,2.27,1.42,2.93,0,0,0,0.43,0.11,0,0.6
2011-04,18.76,43.66,0.81,17.91,11.32,0,1.99,1.37,2.78,0.26,0,0,0.44,0.11,0,0.58
2011-05,20.5,43.03,0.78,17.79,10.71,0,1.5,1.38,2.58,0.72,0,0,0.4,0.1,0,0.52
2011-06,21.66,41.68,0.76,18.66,10.33,0,1.46,1.41,2.42,0.68,0,0,0.39,0.1,0,0.45
2011-07,23.13,40.68,0.76,18.82,10.16,0,1.41,1.37,2.2,0.65,0,0,0.35,0.1,0,0.39
2011-08,25.25,40.43,0.76,17.46,9.88,0,1.38,1.3,2.03,0.66,0,0,0.39,0.09,0,0.38
2011-09,26.32,40.9,0.76,16.27,9.88,0,1.32,1.29,1.85,0.65,0,0,0.35,0.07,0,0.35
2011-10,28.37,42.29,0.78,13.26,9.4,0,1.21,1.41,1.7,0.66,0,0.11,0.38,0.08,0,0.35
2011-11,28.66,41.41,0.77,13.53,9.56,0,1.24,1.54,1.64,0.64,0,0.2,0.38,0.08,0,0.34
2011-12,29.39,40.16,0.83,13.28,10.06,0,1.33,1.63,1.6,0.62,0,0.21,0.36,0.09,0.11,0.32
2012-01,30.89,41.19,0.86,12.85,8.7,0,1.14,1.37,1.33,0.6,0,0.22,0.3,0.07,0.2,0.28
2012-02,31.4,42.31,0.99,12.3,8.06,0,1.07,1.31,1.14,0.51,0,0.22,0.23,0.06,0.15,0.26
2012-03,31.72,41.63,1.15,12,8.31,0,1.11,1.37,1.16,0.55,0,0.26,0.26,0.06,0.19,0.24
2012-04,32.6,41.32,1.24,12.43,7.26,0.4,1.02,1.19,0.98,0.55,0,0.24,0.26,0.06,0.21,0.23
2012-05,33.4,41.19,1.36,11.67,5.63,2,1.05,1.27,0.86,0.56,0,0.26,0.24,0.05,0.23,0.22
2012-06,35.6,40.81,1.47,10.73,4.93,2.19,0.95,1.12,0.72,0.54,0,0.27,0.22,0.04,0.21,0.19
2012-07,36.41,40.66,1.8,10.53,4.04,2.44,0.88,1.1,0.63,0.51,0,0.28,0.24,0.04,0.23,0.22
2012-08,38.81,39.97,1.95,9.34,3.64,2.36,0.82,1.03,0.55,0.5,0,0.27,0.23,0.03,0.25,0.23
2012-09,40.2,39.72,2.1,8.44,3.45,2.24,0.8,1.11,0.51,0.5,0,0.26,0.2,0.03,0.23,0.21
2012-10,40.75,39.55,2.2,8.13,3.42,2.17,0.8,1.11,0.49,0.49,0,0.23,0.2,0.03,0.22,0.22
2012-11,41.71,39.56,2.28,7.57,3.11,2.13,0.77,1.1,0.46,0.48,0,0.19,0.19,0.03,0.22,0.21
2012-12,42.75,38.67,2.54,7.16,2.97,2.18,0.78,1.23,0.46,0.47,0,0.18,0.18,0.03,0.23,0.19
2013-01,44.1,39.02,2.71,6.15,2.58,2.03,0.65,1.2,0.39,0.46,0,0.16,0.16,0.02,0.23,0.15
2013-02,45.21,39.81,2.56,4.43,2.44,2.21,0.62,1.2,0.37,0.47,0,0.15,0.15,0.02,0.23,0.13
2013-03,45.49,38.94,2.58,4.58,2.31,2.78,0.7,1.14,0.34,0.47,0,0.15,0.14,0.02,0.24,0.12
2013-04,45.62,38.92,2.75,4.72,2.17,2.74,0.59,1.11,0.3,0.43,0,0.15,0.14,0.02,0.24,0.12
2013-05,45.47,39.25,2.88,4.64,2.03,2.84,0.55,1.08,0.3,0.41,0,0.13,0.13,0.02,0.16,0.11
2013-06,45.3,39.07,2.91,4.61,1.92,3.36,0.56,1.09,0.29,0.38,0,0.09,0.12,0.02,0.15,0.11
2013-07,46.32,38.79,3.15,4.87,1.75,2.53,0.59,0.73,0.27,0.36,0,0.16,0.11,0.14,0.12,0.09
2013-08,47.92,38.31,3.28,4.46,1.64,1.99,0.57,0.68,0.25,0.34,0,0.17,0.11,0.14,0.06,0.08
2013-09,48.35,37.62,3.35,4.46,1.65,2.09,0.6,0.8,0.25,0.32,0,0.15,0.08,0.15,0.05,0.08
2013-10,47.21,34.85,3.24,5.12,2.29,3.3,1.06,1.75,0.37,0.28,0,0.14,0.06,0.22,0.04,0.06
2013-11,48.14,37.45,3.54,5.31,1.42,1.76,0.65,0.74,0.25,0.27,0.03,0.12,0.04,0.18,0.04,0.07
2013-12,48.7,35.9,3.72,4.86,1.47,2.64,0.81,0.88,0.24,0.25,0.1,0.14,0.04,0.15,0.03,0.05
2014-01,48.81,33.34,3.61,3.82,1.91,4.37,1.47,1.44,0.26,0.22,0.26,0.24,0.06,0.14,0.02,0.04
2014-02,52.97,31.19,3.51,3.22,1.67,3.69,1.27,1.29,0.23,0.22,0.23,0.19,0.13,0.14,0.02,0.04
2014-03,55.82,32.7,3.57,3.09,1.05,1.75,0.49,0.61,0.2,0.27,0.03,0.07,0.12,0.17,0.02,0.04
2014-04,56.56,32.18,3.71,2.86,1,1.71,0.47,0.6,0.2,0.27,0.04,0.07,0.12,0.17,0.02,0.04
2014-05,59.32,31.73,3.44,2.09,0.69,1.21,0.32,0.55,0.15,0.18,0.03,0.05,0.08,0.11,0.01,0.03
2014-06,57.88,33.77,3.35,2.04,0.61,1.1,0.28,0.42,0.12,0.17,0.02,0.04,0.07,0.1,0.01,0.02
2014-07,58.13,34.53,3.39,1.6,0.46,0.88,0.22,0.34,0.09,0.13,0.02,0.04,0.07,0.08,0.01,0.02
2014-08,59.95,31.67,3.45,1.9,0.53,1.19,0.25,0.53,0.1,0.14,0.04,0.04,0.08,0.09,0.01,0.02
2014-09,60.79,31.66,3.56,1.67,0.43,0.94,0.22,0.29,0.09,0.12,0.04,0.04,0.05,0.07,0.01,0.02
2014-10,61.98,31.78,3.38,1.14,0.3,0.69,0.15,0.23,0.06,0.09,0.03,0.03,0.06,0.06,0.01,0.01
2014-11,62.7,30.47,3.78,1.17,0.32,0.77,0.18,0.24,0.06,0.1,0.03,0.03,0.05,0.06,0.02,0.02
2014-12,61.85,31.64,3.44,1.27,0.3,0.75,0.17,0.22,0.06,0.09,0.04,0.03,0.05,0.06,0.02,0.02
2015-01,61.68,30.97,3.49,1.53,0.39,0.98,0.22,0.24,0.07,0.11,0.06,0.04,0.08,0.07,0.02,0.05
2015-02,61.68,31.03,3.56,1.42,0.41,0.98,0.21,0.25,0.06,0.11,0.06,0.04,0.07,0.07,0.02,0.02
2015-03,63.05,29.4,3.79,1.5,0.42,0.93,0.19,0.27,0.06,0.1,0.07,0.05,0.07,0.07,0.02,0.02
2015-04,64.12,28.2,4.03,1.48,0.36,0.88,0.2,0.24,0.07,0.1,0.08,0.05,0.07,0.06,0.02,0.02
2015-05,64.19,28.31,4,1.39,0.33,0.72,0.2,0.24,0.05,0.11,0.19,0.1,0.06,0.06,0.02,0.02
2015-06,63.81,28.41,3.99,1.68,0.32,0.65,0.2,0.31,0.05,0.11,0.26,0.06,0.06,0.06,0.02,0.02
2015-07,63.66,28.41,4.14,1.65,0.31,0.65,0.21,0.31,0.05,0.1,0.28,0.07,0.07,0.06,0.02,0.02
2015-08,63.23,28.54,4.3,1.74,0.3,0.64,0.21,0.33,0.04,0.09,0.3,0.11,0.07,0.05,0.02,0.02
2015-09,64.06,27.85,4.39,1.67,0.25,0.58,0.19,0.34,0.04,0.08,0.28,0.12,0.06,0.05,0.01,0.02
2015-10,64.69,27.31,4.35,1.55,0.25,0.57,0.22,0.38,0.03,0.07,0.32,0.11,0.06,0.05,0.02,0.02
2015-11,64.01,28.46,4.24,1.28,0.23,0.52,0.23,0.4,0.03,0.07,0.3,0.09,0.05,0.05,0.01,0.02
2015-12,64.6,27.74,4.34,1.36,0.22,0.48,0.24,0.43,0.03,0.06,0.29,0.08,0.06,0.04,0.01,0.02
2016-01,64.76,28.26,4.05,1.16,0.19,0.4,0.26,0.4,0.03,0.05,0.25,0.09,0.05,0.04,0.01,0.02
2016-02,65.18,27.8,4.06,1.13,0.19,0.39,0.28,0.43,0.03,0.06,0.26,0.09,0.05,0.04,0.01,0.02
2016-03,66.5,26.86,3.73,1.07,0.19,0.38,0.27,0.45,0.03,0.05,0.25,0.09,0.05,0.04,0.01,0.02
2016-04,66.84,26.55,3.64,1.2,0.17,0.34,0.26,0.5,0.02,0.05,0.24,0.09,0.04,0.04,0.01,0.02
2016-05,66.74,26.84,3.53,1.17,0.16,0.33,0.26,0.49,0.02,0.04,0.24,0.09,0.04,0.03,0.01,0.02
2016-06,66.89,27.36,3.46,0.88,0.13,0.28,0.25,0.31,0.02,0.04,0.2,0.09,0.04,0.03,0.01,0.01
2016-07,67.66,26.87,3.27,0.82,0.13,0.28,0.23,0.31,0.02,0.04,0.21,0.08,0.04,0.03,0.01,0.01
2016-08,68.44,26.38,3.14,0.72,0.12,0.26,0.23,0.31,0.02,0.03,0.19,0.06,0.04,0.02,0.01,0.01
2016-09,69.01,26.17,2.94,0.68,0.11,0.23,0.23,0.29,0.02,0.03,0.18,0.05,0.03,0.02,0.01,0.01
2016-10,68.54,26.86,2.84,0.66,0.11,0.21,0.23,0.23,0.02,0.03,0.16,0.04,0.03,0.02,0.01,0.01
2016-11,68.9,26.93,2.63,0.55,0.09,0.19,0.21,0.19,0.02,0.02,0.15,0.05,0.03,0.02,0.01,0.01
2016-12,68.64,27.35,2.45,0.47,0.09,0.19,0.23,0.27,0.01,0.02,0.15,0.06,0.03,0.02,0.01,0.01
2017-01,67.45,29,2.19,0.39,0.08,0.16,0.22,0.26,0.01,0.02,0.13,0.03,0.03,0.02,0.01,0.01
2017-02,67.75,28.76,2.18,0.39,0.07,0.14,0.22,0.24,0.01,0.02,0.12,0.04,0.03,0.01,0.01,0.01
2017-03,67.81,28.87,2.06,0.3,0.06,0.12,0.21,0.35,0.01,0.02,0.11,0.03,0.02,0.02,0.01,0.01
2017-04,68.59,28.25,1.96,0.24,0.06,0.13,0.22,0.34,0.01,0.01,0.11,0.02,0.02,0.02,0.01,0.01
2017-05,68.31,28.62,1.89,0.22,0.06,0.13,0.19,0.35,0.01,0.01,0.12,0.02,0.02,0.02,0.01,0.01
