"Date","iOS","Android","BlackBerry OS","Windows","Unknown","SymbianOS","Series 40","Samsung","Playstation","Sony Ericsson","Nintendo 3DS","Linux","Nintendo","webOS","LG","Nokia Unknown","Brew","Other"
2010-03,47.07,13.12,26.14,0.83,3.5,2.46,0,1.5,1.99,0.83,0,0,0.68,0.98,0.36,0,0,0.54
2010-04,44.87,12.18,27.88,0.55,5.04,2.51,0,1.93,2.1,0.8,0,0,0.5,1.08,0.24,0,0,0.32
2010-05,44.29,8.86,27.95,0.22,8.75,2.45,0,2.92,1.9,0.78,0,0,0.49,1.31,0.05,0,0,0.04
2010-06,41.81,8.79,29.17,0.19,9.71,2.68,0,2.96,1.96,0.8,0,0,0.51,1.34,0.05,0,0,0.03
2010-07,39.46,15.5,30.22,0.4,4.3,3.11,0,2.35,1.7,0.86,0,0,0.49,1.23,0.16,0,0,0.21
2010-08,37.98,17.63,31.8,0.37,2.97,3.08,0,2.07,1.26,0.91,0,0,0.47,1.09,0.17,0,0,0.21
2010-09,38.5,21.26,27.28,0.36,3.43,3.34,0,2.18,0.95,1.02,0,0,0.34,1.02,0.13,0,0,0.19
2010-10,36.53,21.4,29.66,0.36,3.59,3.39,0,1.87,0.79,1.01,0,0,0.29,0.88,0.11,0,0,0.13
2010-11,34.39,21.89,31.93,0.31,3.39,3.21,0,1.9,0.72,0.97,0,0,0.29,0.78,0.1,0,0,0.13
2010-12,35.03,23.52,29.93,0.27,3.29,3.09,0,2.02,0.78,0.86,0,0,0.32,0.7,0.09,0,0,0.12
2011-01,36.42,24.56,26.05,0.47,3.11,4.75,0,1.93,0.73,0.88,0,0,0.33,0.6,0.09,0,0,0.09
2011-02,37.53,26.42,22.18,0.67,3,5.65,0,1.9,0.66,1,0,0,0.29,0.55,0.08,0,0,0.07
2011-03,39.34,28.4,19.8,0.71,3.1,4.3,0,1.71,0.64,1.04,0,0,0.31,0.5,0.08,0,0,0.06
2011-04,36.69,27.13,21.74,0.69,3.21,6.18,0,1.72,0.62,1.18,0,0,0.29,0.42,0.06,0,0,0.06
2011-05,33.31,28.05,21.78,0.62,3.42,8.45,0,1.83,0.53,1.3,0,0,0.23,0.34,0.06,0,0,0.08
