year,admin1,fatalities
#date+year,#adm1+name,#affected+killed
2020,Sud-Ubangi,0
2020,Ituri,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,5
2020,Sud-Kivu,0
2020,Kongo-Central,0
2020,Kongo-Central,0
2020,Ituri,1
2020,Nord-Kivu,0
2020,Nord-Kivu,3
2020,Sud-Kivu,0
2020,Tanganyika,2
2020,Tanganyika,0
2020,Tanganyika,1
2020,Nord-Kivu,2
2020,Haut-Uele,0
2020,Haut-Uele,0
2020,Nord-Kivu,0
2020,Ituri,2
2020,Sud-Kivu,0
2020,Sud-Kivu,2
2020,Tshopo,0
2020,Nord-Kivu,6
2020,Nord-Kivu,7
2020,Maniema,0
2020,Nord-Kivu,3
2020,Sud-Kivu,0
2020,Kinshasa,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,2
2020,Nord-Kivu,2
2020,Kongo-Central,0
2020,Tanganyika,0
2020,Sud-Kivu,0
2020,Tanganyika,0
2020,Ituri,6
2020,Nord-Kivu,0
2020,Ituri,0
2020,Lomami,0
2020,Ituri,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Kasai-Central,0
2020,Ituri,8
2020,Sud-Kivu,0
2020,Kinshasa,0
2020,Sud-Kivu,0
2020,Lualaba,1
2020,Nord-Kivu,0
2020,Ituri,1
2020,Ituri,2
2020,Nord-Kivu,1
2020,Sud-Kivu,1
2020,Nord-Kivu,0
2020,Sankuru,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Tanganyika,0
2020,Tshopo,0
2020,Bas-Uele,1
2020,Ituri,5
2020,Ituri,0
2020,Ituri,2
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Kinshasa,0
2020,Nord-Kivu,4
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,2
2020,Sud-Kivu,0
2020,Kongo-Central,0
2020,Ituri,0
2020,Nord-Kivu,0
2020,Ituri,2
2020,Nord-Kivu,0
2020,Sud-Kivu,2
2020,Sud-Kivu,2
2020,Nord-Kivu,0
2020,Ituri,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Kasai-Oriental,0
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,3
2020,Ituri,6
2020,Kasai-Oriental,0
2020,Ituri,8
2020,Ituri,1
2020,Nord-Kivu,0
2020,Tanganyika,0
2020,Ituri,3
2020,Nord-Kivu,23
2020,Nord-Kivu,8
2020,Nord-Kivu,24
2020,Ituri,0
2020,Kinshasa,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,6
2020,Nord-Kivu,0
2020,Nord-Kivu,2
2020,Ituri,0
2020,Ituri,3
2020,Nord-Kivu,0
2020,Ituri,2
2020,Ituri,0
2020,Maniema,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Ituri,0
2020,Ituri,2
2020,Sud-Kivu,1
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,1
2020,Sud-Kivu,0
2020,Ituri,2
2020,Ituri,0
2020,Sud-Kivu,15
2020,Sud-Kivu,0
2020,Ituri,0
2020,Nord-Kivu,1
2020,Ituri,11
2020,Nord-Kivu,2
2020,Ituri,0
2020,Nord-Kivu,5
2020,Nord-Kivu,1
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,17
2020,Ituri,1
2020,Ituri,20
2020,Ituri,30
2020,Sud-Kivu,2
2020,Sud-Kivu,0
2020,Sud-Kivu,1
2020,Sud-Kivu,1
2020,Ituri,7
2020,Nord-Kivu,9
2020,Nord-Kivu,8
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Kasai-Central,0
2020,Kwilu,0
2020,Haut-Uele,0
2020,Tshopo,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,4
2020,Kinshasa,0
2020,Nord-Kivu,12
2020,Sud-Kivu,3
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Kasai-Oriental,0
2020,Haut-Katanga,0
2020,Nord-Kivu,0
2020,Kongo-Central,0
2020,Maniema,0
2020,Kwilu,0
2020,Kasai,0
2020,Sud-Ubangi,0
2020,Nord-Ubangi,0
2020,Haut-Katanga,3
2020,Kasai,0
2020,Kwilu,0
2020,Kasai,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,4
2020,Ituri,1
2020,Ituri,6
2020,Nord-Kivu,1
2020,Nord-Kivu,0
2020,Nord-Kivu,3
2020,Nord-Kivu,8
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Kongo-Central,1
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Sud-Kivu,2
2020,Ituri,6
2020,Ituri,0
2020,Nord-Kivu,1
2020,Nord-Kivu,1
2020,Haut-Katanga,4
2020,Nord-Kivu,2
2020,Sud-Kivu,0
2020,Nord-Kivu,8
2020,Nord-Kivu,0
2020,Kwilu,0
2020,Nord-Kivu,1
2020,Lualaba,0
2020,Nord-Kivu,0
2020,Kasai-Oriental,0
2020,Haut-Lomami,0
2020,Kasai,0
2020,Sud-Kivu,0
2020,Maniema,0
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,1
2020,Haut-Katanga,0
2020,Haut-Katanga,0
2020,Ituri,0
2020,Tanganyika,0
2020,Nord-Kivu,0
2020,Tanganyika,0
2020,Kasai-Central,0
2020,Kinshasa,3
2020,Tshopo,0
2020,Kongo-Central,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Kwilu,0
2020,Maniema,0
2020,Kasai-Central,0
2020,Sud-Kivu,2
2020,Kinshasa,0
2020,Ituri,2
2020,Ituri,1
2020,Ituri,0
2020,Tshopo,0
2020,Nord-Kivu,0
2020,Ituri,2
2020,Ituri,25
2020,Nord-Kivu,0
2020,Haut-Katanga,0
2020,Nord-Kivu,0
2020,Tshopo,0
2020,Nord-Kivu,0
2020,Sud-Kivu,1
2020,Sud-Kivu,0
2020,Ituri,0
2020,Nord-Kivu,0
2020,Kwilu,1
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Tanganyika,0
2020,Nord-Kivu,0
2020,Haut-Katanga,0
2020,Kongo-Central,0
2020,Kasai-Central,0
2020,Sud-Kivu,0
2020,Nord-Kivu,2
2020,Haut-Katanga,0
2020,Nord-Kivu,2
2020,Nord-Kivu,1
2020,Sud-Kivu,0
2020,Ituri,2
2020,Kinshasa,0
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Sud-Kivu,2
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Kasai,1
2020,Ituri,1
2020,Sud-Kivu,0
2020,Ituri,4
2020,Haut-Katanga,0
2020,Tanganyika,0
2020,Ituri,6
2020,Nord-Kivu,5
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Ituri,11
2020,Kinshasa,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Ituri,7
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Sud-Kivu,8
2020,Nord-Kivu,0
2020,Nord-Kivu,2
2020,Nord-Kivu,0
2020,Ituri,5
2020,Nord-Kivu,8
2020,Ituri,2
2020,Sud-Kivu,2
2020,Ituri,0
2020,Ituri,7
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Tanganyika,12
2020,Nord-Kivu,1
2020,Nord-Kivu,0
2020,Ituri,0
2020,Sud-Kivu,0
2020,Ituri,5
2020,Tanganyika,6
2020,Kasai-Central,0
2020,Nord-Kivu,1
2020,Kasai,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Nord-Kivu,2
2020,Nord-Kivu,2
2020,Sud-Kivu,0
2020,Ituri,0
2020,Ituri,1
2020,Ituri,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Ubangi,0
2020,Ituri,2
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Ituri,24
2020,Kinshasa,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Ituri,10
2020,Nord-Kivu,13
2020,Nord-Kivu,1
2020,Nord-Kivu,13
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,2
2020,Nord-Kivu,14
2020,Nord-Kivu,13
2020,Nord-Kivu,13
2020,Ituri,2
2020,Nord-Kivu,14
2020,Nord-Kivu,3
2020,Nord-Kivu,3
2020,Nord-Kivu,3
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Ituri,0
2020,Ituri,8
2020,Nord-Kivu,0
2020,Kwilu,0
2020,Kinshasa,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Ituri,2
2020,Bas-Uele,0
2020,Ituri,0
2020,Sud-Kivu,1
2020,Nord-Kivu,2
2020,Nord-Kivu,0
2020,Nord-Kivu,2
2020,Sud-Kivu,0
2020,Kinshasa,0
2020,Sud-Kivu,0
2020,Kasai-Oriental,0
2020,Sud-Kivu,1
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,3
2020,Nord-Kivu,4
2020,Kasai,0
2020,Equateur,0
2020,Ituri,10
2020,Nord-Kivu,0
2020,Ituri,3
2020,Nord-Kivu,0
2020,Tanganyika,0
2020,Nord-Kivu,0
2020,Kinshasa,0
2020,Haut-Katanga,0
2020,Kongo-Central,0
2020,Nord-Kivu,1
2020,Ituri,4
2020,Ituri,3
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,2
2020,Kwilu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,4
2020,Ituri,3
2020,Nord-Kivu,4
2020,Nord-Kivu,0
2020,Ituri,8
2020,Nord-Kivu,4
2020,Sud-Kivu,0
2020,Ituri,0
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,1
2020,Kinshasa,0
2020,Nord-Kivu,3
2020,Sud-Kivu,1
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,3
2020,Ituri,1
2020,Lomami,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Kongo-Central,5
2020,Sud-Kivu,3
2020,Sud-Kivu,1
2020,Sud-Kivu,2
2020,Nord-Kivu,5
2020,Sud-Kivu,0
2020,Ituri,10
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Kongo-Central,6
2020,Ituri,8
2020,Ituri,0
2020,Nord-Kivu,0
2020,Sud-Kivu,5
2020,Sud-Kivu,1
2020,Sud-Kivu,5
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,10
2020,Sud-Kivu,0
2020,Nord-Kivu,3
2020,Nord-Kivu,2
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,6
2020,Ituri,5
2020,Nord-Kivu,1
2020,Lualaba,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Ituri,1
2020,Sud-Kivu,0
2020,Ituri,15
2020,Nord-Kivu,2
2020,Nord-Kivu,0
2020,Haut-Uele,1
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Haut-Uele,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Tanganyika,0
2020,Sud-Kivu,1
2020,Kinshasa,0
2020,Kinshasa,0
2020,Nord-Kivu,3
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Tshopo,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,1
2020,Sud-Kivu,0
2020,Nord-Kivu,6
2020,Sud-Kivu,6
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Bas-Uele,0
2020,Kasai-Oriental,0
2020,Ituri,6
2020,Sud-Kivu,0
2020,Sud-Kivu,1
2020,Ituri,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,4
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,10
2020,Nord-Kivu,5
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Kivu,1
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,9
2020,Ituri,0
2020,Nord-Kivu,1
2020,Kinshasa,0
2020,Nord-Kivu,2
2020,Nord-Kivu,0
2020,Kinshasa,3
2020,Ituri,0
2020,Ituri,5
2020,Ituri,3
2020,Nord-Kivu,1
2020,Nord-Kivu,0
2020,Ituri,6
2020,Bas-Uele,0
2020,Sud-Kivu,1
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Sud-Kivu,0
2020,Nord-Kivu,1
2020,Ituri,7
2020,Sud-Kivu,1
2020,Tanganyika,0
2020,Ituri,0
2020,Sud-Ubangi,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Tanganyika,0
2020,Ituri,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Haut-Uele,0
2020,Kongo-Central,1
2020,Tanganyika,0
2020,Haut-Katanga,0
2020,Nord-Kivu,2
2020,Nord-Kivu,6
2020,Sud-Kivu,0
2020,Tanganyika,0
2020,Sud-Kivu,2
2020,Nord-Kivu,1
2020,Sud-Kivu,0
2020,Ituri,10
2020,Tanganyika,4
2020,Haut-Uele,0
2020,Sud-Kivu,5
2020,Nord-Kivu,4
2020,Nord-Kivu,6
2020,Ituri,7
2020,Lomami,1
2020,Sud-Kivu,2
2020,Nord-Kivu,27
2020,Nord-Kivu,1
2020,Nord-Kivu,1
2020,Ituri,16
2020,Ituri,0
2020,Haut-Katanga,1
2020,Sud-Kivu,1
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,11
2020,Nord-Kivu,0
2020,Ituri,19
2020,Sud-Kivu,0
2020,Sankuru,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Lualaba,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,1
2020,Nord-Kivu,2
2020,Nord-Kivu,2
2020,Sud-Kivu,2
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,4
2020,Nord-Kivu,2
2020,Bas-Uele,0
2020,Nord-Kivu,5
2020,Sud-Kivu,1
2020,Sud-Kivu,4
2020,Sud-Kivu,10
2020,Nord-Kivu,1
2020,Ituri,4
2020,Nord-Kivu,0
2020,Nord-Kivu,2
2020,Sud-Kivu,0
2020,Ituri,4
2020,Nord-Kivu,4
2020,Nord-Kivu,3
2020,Sud-Kivu,5
2020,Maniema,2
2020,Sud-Kivu,2
2020,Sud-Kivu,1
2020,Nord-Kivu,2
2020,Nord-Kivu,1
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,0
2020,Ituri,0
2020,Kasai,0
2020,Sud-Kivu,0
2020,Haut-Uele,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Tanganyika,2
2020,Ituri,0
2020,Maniema,0
2020,Sud-Kivu,0
2020,Nord-Kivu,13
2020,Nord-Kivu,1
2020,Sud-Kivu,3
2020,Haut-Uele,0
2020,Nord-Kivu,5
2020,Nord-Kivu,0
2020,Bas-Uele,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Kinshasa,0
2020,Ituri,0
2020,Ituri,7
2020,Kasai-Oriental,0
2020,Bas-Uele,0
2020,Nord-Kivu,0
2020,Ituri,1
2020,Nord-Kivu,0
2020,Tanganyika,2
2020,Haut-Katanga,0
2020,Tanganyika,0
2020,Ituri,20
2020,Ituri,20
2020,Nord-Kivu,1
2020,Kinshasa,1
2020,Nord-Kivu,30
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,2
2020,Kasai-Oriental,0
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Kivu,0
2020,Kinshasa,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Sud-Kivu,28
2020,Nord-Kivu,9
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Nord-Kivu,0
2020,Ituri,4
2020,Ituri,0
2020,Ituri,0
2020,Ituri,0
2020,Ituri,0
2020,Ituri,0
2020,Ituri,0
2020,Ituri,0
2020,Ituri,0
2020,Bas-Uele,0
2020,Nord-Kivu,7
2020,Nord-Kivu,1
2020,Nord-Kivu,10
2020,Ituri,4
2020,Nord-Kivu,5
2020,Nord-Kivu,7
2020,Sud-Kivu,0
2020,Sud-Kivu,0
2020,Bas-Uele,0
2020,Bas-Uele,0
2020,Bas-Uele,0
