Entity,Code,Year,Share of deaths from terrorism,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: all,Death rate due to conflict and terrorism
Democratic Republic of Congo,COD,1980,-1,-1,0
Democratic Republic of Congo,COD,1981,-1,-1,0
Democratic Republic of Congo,COD,1982,-1,-1,0
Democratic Republic of Congo,COD,1983,-1,-1,0
Democratic Republic of Congo,COD,1984,-1,-1,0.006166058
Democratic Republic of Congo,COD,1985,-1,-1,0
Democratic Republic of Congo,COD,1986,-1,-1,0
Democratic Republic of Congo,COD,1987,-1,-1,0
Democratic Republic of Congo,COD,1988,-1,-1,0.077536907
Democratic Republic of Congo,COD,1989,-1,28,0.075445735
Democratic Republic of Congo,COD,1990,-1,147,0.38424307855970186
Democratic Republic of Congo,COD,1991,-1,32,0.089256729
Democratic Republic of Congo,COD,1992,-1,67,0.191008717
Democratic Republic of Congo,COD,1993,-1,3337,0.2549218905012584
Democratic Republic of Congo,COD,1994,-1,333,0.42953573515408283
Democratic Republic of Congo,COD,1995,-1,523,0.23074838319529428
Democratic Republic of Congo,COD,1996,-1,33074,76.81784638092113
Democratic Republic of Congo,COD,1997,-1,13802,30.93493880039104
Democratic Republic of Congo,COD,1998,-1,7554,20.958101268878686
Democratic Republic of Congo,COD,1999,-1,7755,17.71384233053243
Democratic Republic of Congo,COD,2000,-1,2968,5.182313182034213
Democratic Republic of Congo,COD,2001,-1,1616,4.138006583126033
Democratic Republic of Congo,COD,2002,-1,8012,11.579722960405878
Democratic Republic of Congo,COD,2003,-1,4263,6.897683516866328
Democratic Republic of Congo,COD,2004,-1,661,1.595344970189484
Democratic Republic of Congo,COD,2005,-1,289,1.0195343465088453
Democratic Republic of Congo,COD,2006,-1,323,0.7516512156581284
Democratic Republic of Congo,COD,2007,0.009529482,817,1.5124605335012529
Democratic Republic of Congo,COD,2008,0.04173093,1697,5.762797882755446
Democratic Republic of Congo,COD,2009,0.10693827,5285,7.957006182255955
Democratic Republic of Congo,COD,2010,0.015247842,1063,1.9614509228729127
Democratic Republic of Congo,COD,2011,0.00644383,459,0.5998856025750506
Democratic Republic of Congo,COD,2012,0.03630949,1630,2.9723889355015016
Democratic Republic of Congo,COD,2013,0.018818546,3100,3.8733101039906126
Democratic Republic of Congo,COD,2014,0.045617994,1948,1.5805627090128156
Democratic Republic of Congo,COD,2015,0.04537044,759,1.705132572500337
Democratic Republic of Congo,COD,2016,0.06487655,2142,2.226682257248067
Democratic Republic of Congo,COD,2017,0.07165822,5807,7.873403926699158
Democratic Republic of Congo,COD,2018,0.118986994,2955,2.151938145
Democratic Republic of Congo,COD,2019,0.07604022,2385,4.149765447203269
Democratic Republic of Congo,COD,2020,0.15308318,3841,3.7331262590647563
Democratic Republic of Congo,COD,2021,0.074019246,3513,3.631471831463109
Democratic Republic of Congo,COD,2022,-1,5322,-1
Democratic Republic of Congo,COD,2023,-1,3635,-1
