"Date","Apple","Samsung","LG","Motorola","Unknown","RIM","HTC","Google","Nokia","ZTE","Huawei","Alcatel","Xiaomi","Sony","OnePlus","Kyocera","Lenovo","Oppo","T-Mobile","Nintendo","Pantech","Vivo","Coolpad","Asus","Realme","Palm","Micromax","Infinix","Mobicel","Blu","Sumsung","Tecno","HP","Casio","RCA","TCL","Sharp","Unimax","Acer","Honor","General Mobile","AT&T","BBK","Other"
2010-04,51.65,2.47,0.43,0.33,0,36.3,0.07,0.31,1.09,0,0,0,0,2.45,0,0,0,0,2.62,0.56,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-05,51.14,3.74,0.07,0.04,0,36.78,0,0.3,1.17,0,0,0,0,2.23,0,0,0,0,2.2,0.54,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-06,48.89,3.84,0.06,0.03,0,38.77,0,0.31,1.43,0,0,0,0,2.37,0,0,0,0,1.88,0.59,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-07,46.7,4.22,0.3,0.29,0,40.3,0.05,0.31,1.77,0,0,0,0,2.07,0,0,0,0,1.56,0.57,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
2010-08,45.15,4.65,0.31,0.31,0,42.52,0.05,0.27,1.65,0,0,0,0,1.64,0,0,0,0,1.23,0.56,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-09,48.19,6.45,0.27,0.31,0,38.06,0.05,0.27,1.73,0,0,0,0,1.46,0,0,0,0,1.17,0.42,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-10,45.57,6.59,0.2,0.26,0,41.48,0.03,0.22,1.71,0,0,0,0,1.26,0,0,0,0,0.93,0.35,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-11,41.48,6.55,0.17,3.42,0,43.23,0.02,0.18,1.51,0,0,0,0,1.19,0,0,0,0,0.72,0.34,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-12,42.79,6.73,0.15,4.29,0,41.03,0.02,0.16,1.5,0,0,0,0,1.29,0,0,0,0,0.59,0.38,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,45.76,6.63,0.16,3.82,0,36.27,0.11,0.14,3.87,0,0,0,0,1.41,0,0,0,0,0.47,0.41,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
