"Date","Samsung","Apple","Unknown","Nokia","Xiaomi","Oppo","Huawei","Vivo","Micromax","Sony","Lenovo","LG","Realme","Mobicel","HTC","Motorola","Asus","General Mobile","BBK","OnePlus","RIM","Infinix","Google","Lava","Tecno","Gionee","ZTE","Turkcell","Casper","Lyf","Vestel","Coolpad","Spice","Hisense","Itel","AIS","Alcatel","QMobile","Meizu","Panasonic","Wiko","True","Vodafone","LeEco","Honor","Reliance Digital","InFocus","Intex","Smartfren","Pantech","Acer","Xolo","i-Mobile","Avea","dtac","Karbonn","Yu","Infinex","Symphony","Sharp","Turk Telecom","Reeder","Vsmart","HP","Other"
2010-04,2.47,7.97,0,73.3,0,0,0,0,0,12.98,0,0.13,0,0,0.08,0.22,0,0,0,0,2.7,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
2010-05,3.42,8.29,0,72.15,0,0,0,0,0,12.31,0,0.09,0,0,0.02,0.16,0,0,0,0,3.43,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
2010-06,4.44,7.22,0,72.3,0,0,0,0,0,11.64,0,0.09,0,0,0.02,0.16,0,0,0,0,4.02,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
2010-07,4.08,7.08,0,72.08,0,0,0,0,0,12.03,0,0.16,0,0,0.07,0.17,0,0,0,0,4.18,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
2010-08,4.28,7.16,0,71.83,0,0,0,0,0,12.18,0,0.18,0,0,0.07,0.17,0,0,0,0,3.99,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
2010-09,4.04,5.97,0,63.54,0,0,0,0,0,10.67,0,0.14,0,0,0.05,0.13,0,0,0,0,15.33,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-10,4.09,6.58,0,63.94,0,0,0,0,0,10.87,0,0.14,0,0,0.05,0.13,0,0,0,0,14.06,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-11,5.13,7.1,0,64.05,0,0,0,0,0,9.67,0,0.15,0,0,0.05,0.13,0,0,0,0,13.57,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
2010-12,5.77,8.28,0,64.53,0,0,0,0,0,9.38,0,0.15,0,0,0.04,0.13,0,0,0,0,11.57,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2011-01,7.03,8.6,0,67.68,0,0,0,0,0,8.99,0,0.18,0,0,0.05,0.13,0,0,0,0,7.21,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
