"Date","Apple","Samsung","LG","Motorola","Unknown","RIM","Huawei","Google","HTC","Nokia","ZTE","Alcatel","Sony","Xiaomi","OnePlus","Kyocera","Oppo","Lenovo","T-Mobile","Nintendo","Vivo","Pantech","Asus","Blu","Realme","Coolpad","Lanix","Honor","Palm","Micromax","HP","Tecno","Mobicel","Infinix","Acer","Hisense","Sumsung","TCL","RCA","Casio","Sharp","BlackBerry","Unimax","General Mobile","BBK","AT&T","Other"
2010-04,52.81,2.33,0.39,0.4,0,32.81,0,0.3,0.09,2.91,0,0,3.43,0,0,0,0,0,2.35,0.59,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-05,52.56,3.48,0.06,0.08,0,33.23,0,0.29,0,2.89,0,0,3.18,0,0,0,0,0,1.97,0.58,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
2010-06,50.36,3.58,0.06,0.07,0,35.1,0,0.3,0,3.2,0,0,3.32,0,0,0,0,0,1.69,0.61,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
2010-07,47.82,3.93,0.28,0.36,0,36.63,0,0.3,0.06,3.73,0,0,3.18,0,0,0,0,0,1.4,0.59,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
2010-08,46.25,4.33,0.28,0.39,0,38.73,0,0.27,0.06,3.71,0,0,2.75,0,0,0,0,0,1.11,0.57,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-09,48.74,5.88,0.24,0.41,0,34.56,0,0.27,0.06,4.18,0,0,2.69,0,0,0,0,0,1.04,0.43,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-10,46.4,5.99,0.18,0.35,0,37.66,0,0.22,0.05,4.17,0,0,2.5,0,0,0,0,0,0.83,0.36,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-11,42.57,6.05,0.16,3.13,0,39.54,0,0.19,0.04,3.87,0,0,2.35,0,0,0,0,0,0.65,0.36,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2010-12,43.88,6.28,0.15,3.87,0,37.5,0,0.17,0.03,3.79,0,0,2.42,0,0,0,0,0,0.54,0.4,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,46.53,6.17,0.17,3.43,0,33.27,0,0.15,0.11,5.99,0,0,2.49,0,0,0,0,0,0.42,0.42,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,49.13,6.53,0.19,3.26,0,29.01,0,0.15,0.22,7.31,0,0,2.69,0,0,0,0,0,0.35,0.37,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,52.83,6.78,0.2,3.14,0,26.6,0,0.16,0.28,5.69,0,0,2.85,0,0,0,0,0,0.3,0.42,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,48.92,6.51,0.19,2.53,0,29,0,0.13,0.29,8.18,0,0,2.97,0,0,0,0,0,0.28,0.39,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,44.8,7.11,0.17,2.16,0,29.3,0,0.11,0.28,11.31,0,0,3.01,0,0,0,0,0,0.94,0.32,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,46.78,8.42,0.18,2.03,0,22.42,0,0.11,0.29,14.84,0,0,3.17,0,0,0,0,0,0.95,0.35,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07,50.51,8.49,0.18,1.83,0,21.83,0,0.2,0.34,11.7,0,0,3.22,0,0,0,0,0,0.9,0.37,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08,52.87,9.61,0.18,1.84,0,20.58,0,0.45,0.4,9.4,0,0,3.1,0,0,0,0,0,0.75,0.39,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,56.74,9.8,0.18,1.67,0,18.59,0,0.54,0.5,8.4,0,0,2.57,0,0,0,0,0,0.24,0.35,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,55.72,9.76,2.34,1.41,0,14.58,0,0.57,5,7.09,0,0,2.3,0,0,0,0,0,0.53,0.37,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2011-11,56.65,9.76,2.76,1.62,0,12.44,0,0.54,5.56,7.75,0,0,2,0,0,0,0,0,0.29,0.32,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2011-12,55.65,10.71,3.01,1.66,0,11.77,0,0.56,5.59,7.91,0,0,2.1,0,0,0,0,0,0.26,0.51,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2012-01,59.11,11.43,3.29,1.49,0,10.06,0,0.56,5.56,5.36,0,0,2.03,0,0,0,0,0,0.23,0.66,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2012-02,60.85,12.03,3.24,1.34,0,9.32,0,0.54,5.47,4.52,0,0,1.78,0,0,0,0,0,0.2,0.51,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
2012-03,50.64,9.87,2.63,0.98,17.48,7.81,0.16,0.47,4.25,3.35,0,0,1.56,0,0,0,0,0,0.14,0.53,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04,46.17,10.01,2.84,2.83,18.48,6.27,0.96,0.71,6.05,3.14,0.16,0.02,1.38,0,0,0,0,0,0.11,0.54,0,0.14,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.04
2012-05,46.39,12.18,3.83,6.37,5.85,6.05,1.07,0.78,10.19,3.63,0.65,0.06,1.39,0,0,0.12,0,0,0.09,0.56,0,0.45,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.11
2012-06,48.78,12.21,3.79,6.65,3.55,5.54,1.16,0.87,9.97,3.65,0.78,0.06,1.37,0,0,0.16,0,0,0.08,0.56,0,0.48,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.12
2012-07,49.13,12.53,3.97,6.68,3.66,4.91,1.24,0.89,9.86,3.1,0.83,0.07,1.39,0,0,0.14,0,0,0.07,0.67,0,0.51,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.11
2012-08,49.1,12.86,3.99,6.61,3.79,4.52,1.26,0.93,9.58,3.12,0.86,0.07,1.35,0,0,0.13,0,0,0.06,0.68,0,0.55,0,0,0,0,0,0,0.05,0.01,0,0,0,0,0.19,0,0,0,0,0.17,0,0,0,0,0,0,0.1
2012-09,49.22,13.31,4.05,6.67,3.88,4.2,1.29,0.98,9.23,3.13,0.89,0.06,1.23,0,0,0.16,0,0,0.05,0.58,0,0.57,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0.19,0,0,0,0,0.16,0,0,0,0,0,0,0.09
